Player,touches,post_touches,post_fgm,post_fga,post_ftm,post_fta,post_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_post,post_pass_pct,post_ast_pct,post_to_pct,Foul%,possessions,Touches Per Poss,post_per_poss,season_year,player
Buddy Hield,1514,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1723,0.8787,0.0006,2026,Buddy Hield
Cade Cunningham,5583,70,21,36,1,2,45,28,12,2,1,0.5833,0.6429,0.4,0.1714,0.0286,0.0143,4396,1.27,0.0159,2026,Cade Cunningham
Caleb Houstan,94,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,155,0.6065,0.0,2026,Caleb Houstan
Caleb Love,1849,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2124,0.8705,0.0,2026,Caleb Love
Caleb Martin,1027,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1780,0.577,0.0006,2026,Caleb Martin
Cam Christie,711,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,945,0.7524,0.0,2026,Cam Christie
Cam Spencer,3809,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3556,1.0711,0.0,2026,Cam Spencer
Cam Thomas,1721,8,3,5,4,4,10,1,0,0,2,0.6,1.25,0.125,0.0,0.0,0.25,1735,0.9919,0.0046,2026,Cam Thomas
Cam Whitmore,432,2,2,2,0,0,4,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,758,0.5699,0.0026,2026,Cam Whitmore
Cameron Johnson,2013,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3414,0.5896,0.0,2026,Cameron Johnson
Cameron Payne,887,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,794,1.1171,0.0,2026,Cameron Payne
Caris LeVert,2080,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,2367,0.8787,0.0004,2026,Caris LeVert
Carter Bryant,1001,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1663,0.6019,0.0,2026,Carter Bryant
Cason Wallace,2829,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,4244,0.6666,0.0005,2026,Cason Wallace
Cedric Coward,3400,14,4,5,4,4,13,5,2,1,2,0.8,0.9286,0.3571,0.1429,0.0714,0.1429,3377,1.0068,0.0041,2026,Cedric Coward
Chaney Johnson,505,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,713,0.7083,0.0014,2026,Chaney Johnson
Charles Bassey,248,10,1,1,5,6,7,5,1,0,3,1.0,0.7,0.5,0.1,0.0,0.3,310,0.8,0.0323,2026,Charles Bassey
Chaz Lanier,251,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,537,0.4674,0.0,2026,Chaz Lanier
Chet Holmgren,3116,69,21,34,13,16,55,18,3,3,8,0.6176,0.7971,0.2609,0.0435,0.0435,0.1159,4117,0.7569,0.0168,2026,Chet Holmgren
Chris Boucher,113,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,182,0.6209,0.0,2026,Chris Boucher
Chris Livingston,21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.5833,0.0,2026,Chris Livingston
Chris MaÃ±on,57,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,90,0.6333,0.0,2026,Chris Maon
Chris Paul,510,3,0,1,0,0,0,2,1,0,0,0.0,0.0,0.6667,0.3333,0.0,0.0,453,1.1258,0.0066,2026,Chris Paul
Chris Youngblood,183,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,375,0.488,0.0,2026,Chris Youngblood
Christian Braun,2088,1,0,0,1,2,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,2908,0.718,0.0003,2026,Christian Braun
Christian Koloko,412,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,752,0.5479,0.0013,2026,Christian Koloko
Chucky Hepburn,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.24,0.0,2026,Chucky Hepburn
CJ Huntley,34,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84,0.4048,0.0,2026,CJ Huntley
CJ McCollum,4372,3,1,2,0,0,2,1,0,0,0,0.5,0.6667,0.3333,0.0,0.0,0.0,4777,0.9152,0.0006,2026,CJ McCollum
Clint Capela,1182,8,2,3,0,2,4,4,0,0,1,0.6667,0.5,0.5,0.0,0.0,0.125,1842,0.6417,0.0043,2026,Clint Capela
Coby White,2620,2,0,0,0,0,0,2,2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2582,1.0147,0.0008,2026,Coby White
Cody Martin,73,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114,0.6404,0.0,2026,Cody Martin
Cody Williams,2195,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3457,0.6349,0.0,2026,Cody Williams
Colby Jones,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.7857,0.0,2026,Colby Jones
Cole Anthony,1253,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1051,1.1922,0.0,2026,Cole Anthony
Colin Castleton,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.7143,0.0,2026,Colin Castleton
Collin Gillespie,4813,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4624,1.0409,0.0,2026,Collin Gillespie
Collin Murray-Boyles,1905,16,6,8,0,0,12,2,0,2,0,0.75,0.75,0.125,0.0,0.125,0.0,2508,0.7596,0.0064,2026,Collin Murray-Boyles
Collin Sexton,3260,2,0,1,1,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.5,3384,0.9634,0.0006,2026,Collin Sexton
Cooper Flagg,4511,33,9,16,0,0,19,11,5,4,0,0.5625,0.5758,0.3333,0.1515,0.1212,0.0,4674,0.9651,0.0071,2026,Cooper Flagg
Corey Kispert,1457,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2287,0.6371,0.0,2026,Corey Kispert
Cormac Ryan,394,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,536,0.7351,0.0,2026,Cormac Ryan
Craig Porter Jr.,2221,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2343,0.9479,0.0004,2026,Craig Porter Jr.
Curtis Jones,132,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178,0.7416,0.0,2026,Curtis Jones
D'Angelo Russell,1209,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,1051,1.1503,0.001,2026,D'Angelo Russell
Daeqwon Plowden,1111,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1736,0.64,0.0,2026,Daeqwon Plowden
Dalano Banton,130,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,1.0156,0.0,2026,Dalano Banton
Dalen Terry,939,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1167,0.8046,0.0,2026,Dalen Terry
Dalton Knecht,703,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1116,0.6299,0.0,2026,Dalton Knecht
Daniel Gafford,1469,38,12,19,2,2,26,11,2,5,1,0.6316,0.6842,0.2895,0.0526,0.1316,0.0263,2339,0.628,0.0162,2026,Daniel Gafford
Daniss Jenkins,3199,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2972,1.0764,0.0,2026,Daniss Jenkins
Danny Wolf,2023,15,2,6,2,2,6,6,0,2,1,0.3333,0.4,0.4,0.0,0.1333,0.0667,2367,0.8547,0.0063,2026,Danny Wolf
DaQuan Jeffries,52,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,116,0.4483,0.0,2026,DaQuan Jeffries
Dario Saric,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.4878,0.0,2026,Dario Saric
Dario Å ariÄ‡,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.4878,0.0,2026,Dario ari
Dariq Whitehead,278,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,399,0.6967,0.0,2026,Dariq Whitehead
Darius Brown,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.25,0.0,2026,Darius Brown
Darius Garland,2809,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2647,1.0612,0.0004,2026,Darius Garland
DaRon Holmes II,273,2,0,0,0,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,408,0.6691,0.0049,2026,DaRon Holmes II
David Jones Garcia,132,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.88,0.0,2026,David Jones Garcia
David Roddy,116,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,155,0.7484,0.0,2026,David Roddy
Davion Mitchell,4421,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4131,1.0702,0.0,2026,Davion Mitchell
Day'Ron Sharpe,2177,48,11,20,12,14,35,12,5,4,7,0.55,0.7292,0.25,0.1042,0.0833,0.1458,2330,0.9343,0.0206,2026,Day'Ron Sharpe
De'Aaron Fox,4726,2,1,2,0,0,2,0,0,0,0,0.5,1.0,0.0,0.0,0.0,0.0,4691,1.0075,0.0004,2026,De'Aaron Fox
De'Andre Hunter,1798,4,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2432,0.7393,0.0016,2026,De'Andre Hunter
De'Anthony Melton,2437,4,3,3,0,0,6,0,0,1,0,1.0,1.5,0.0,0.0,0.25,0.0,2261,1.0778,0.0018,2026,De'Anthony Melton
Dean Wade,1681,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2708,0.6208,0.0,2026,Dean Wade
