Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Jalen Suggs,3700,49,20,29,2,2,42,15,3,4,1,0.6897,0.8571,0.3061,0.0612,0.0816,0.0204,3360,1.1012,0.0146,2026,Jalen Suggs
Jalen Williams,1807,48,22,27,3,3,47,17,4,3,2,0.8148,0.9792,0.3542,0.0833,0.0625,0.0417,1957,0.9234,0.0245,2026,Jalen Williams
Jalen Wilson,1220,20,7,12,2,2,17,6,2,0,1,0.5833,0.85,0.3,0.1,0.0,0.05,1714,0.7118,0.0117,2026,Jalen Wilson
Jamal Cain,571,50,17,25,16,18,51,12,2,3,8,0.68,1.02,0.24,0.04,0.06,0.16,993,0.575,0.0504,2026,Jamal Cain
Jamal Murray,5720,75,29,38,20,22,79,24,5,0,11,0.7632,1.0533,0.32,0.0667,0.0,0.1467,5446,1.0503,0.0138,2026,Jamal Murray
Jamal Shead,4029,45,9,19,6,6,24,18,6,4,2,0.4737,0.5333,0.4,0.1333,0.0889,0.0444,3781,1.0656,0.0119,2026,Jamal Shead
Jamaree Bouyea,1282,13,4,5,1,4,9,5,1,0,2,0.8,0.6923,0.3846,0.0769,0.0,0.1538,1266,1.0126,0.0103,2026,Jamaree Bouyea
James Harden,5366,26,6,9,4,4,18,12,1,1,1,0.6667,0.6923,0.4615,0.0385,0.0385,0.0385,4929,1.0887,0.0053,2026,James Harden
James Wiseman,61,13,5,7,0,0,10,2,0,3,0,0.7143,0.7692,0.1538,0.0,0.2308,0.0,124,0.4919,0.1048,2026,James Wiseman
Jamir Watkins,1297,64,22,33,9,12,53,21,3,2,5,0.6667,0.8281,0.3281,0.0469,0.0312,0.0781,2163,0.5996,0.0296,2026,Jamir Watkins
Jamison Battle,575,47,18,28,2,4,39,13,3,4,2,0.6429,0.8298,0.2766,0.0638,0.0851,0.0426,1062,0.5414,0.0443,2026,Jamison Battle
Jarace Walker,3215,87,26,46,5,8,58,29,4,7,3,0.5652,0.6667,0.3333,0.046,0.0805,0.0345,4139,0.7768,0.021,2026,Jarace Walker
Jared McCain,1930,16,1,4,2,2,5,9,0,2,1,0.25,0.3125,0.5625,0.0,0.125,0.0625,2416,0.7988,0.0066,2026,Jared McCain
Jaren Jackson Jr.,2340,124,43,84,23,24,110,13,3,3,11,0.5119,0.8871,0.1048,0.0242,0.0242,0.0887,3050,0.7672,0.0407,2026,Jaren Jackson Jr.
Jarred Vanderbilt,1450,151,46,75,6,10,98,55,13,13,4,0.6133,0.649,0.3642,0.0861,0.0861,0.0265,2296,0.6315,0.0658,2026,Jarred Vanderbilt
Jarrett Allen,2091,512,219,308,87,122,529,93,15,25,53,0.711,1.0332,0.1816,0.0293,0.0488,0.1035,3116,0.6711,0.1643,2026,Jarrett Allen
Jase Richardson,919,22,11,12,0,0,22,6,1,2,0,0.9167,1.0,0.2727,0.0455,0.0909,0.0,1201,0.7652,0.0183,2026,Jase Richardson
Javon Small,1615,33,11,20,0,2,23,11,3,1,1,0.55,0.697,0.3333,0.0909,0.0303,0.0303,1754,0.9208,0.0188,2026,Javon Small
Javonte Cooke,175,6,4,5,0,0,8,0,0,0,0,0.8,1.3333,0.0,0.0,0.0,0.0,195,0.8974,0.0308,2026,Javonte Cooke
Javonte Green,1978,124,35,60,18,26,89,39,4,6,14,0.5833,0.7177,0.3145,0.0323,0.0484,0.1129,2983,0.6631,0.0416,2026,Javonte Green
Jaxson Hayes,1345,376,157,213,62,90,381,88,10,9,40,0.7371,1.0133,0.234,0.0266,0.0239,0.1064,2467,0.5452,0.1524,2026,Jaxson Hayes
Jay Huff,2386,231,95,125,22,26,217,60,8,18,12,0.76,0.9394,0.2597,0.0346,0.0779,0.0519,3595,0.6637,0.0643,2026,Jay Huff
Jaylen Brown,4859,96,28,48,6,6,66,33,9,6,4,0.5833,0.6875,0.3438,0.0938,0.0625,0.0417,4905,0.9906,0.0196,2026,Jaylen Brown
Jaylen Clark,813,66,21,35,7,10,51,22,8,1,4,0.6,0.7727,0.3333,0.1212,0.0152,0.0606,1821,0.4465,0.0362,2026,Jaylen Clark
Jaylen Wells,2167,87,35,59,13,14,84,20,4,0,7,0.5932,0.9655,0.2299,0.046,0.0,0.0805,3775,0.574,0.023,2026,Jaylen Wells
Jaylin Williams,2681,71,12,22,9,10,34,35,8,6,5,0.5455,0.4789,0.493,0.1127,0.0845,0.0704,2659,1.0083,0.0267,2026,Jaylin Williams
Jaylon Tyson,2652,192,65,111,13,20,144,63,11,6,10,0.5856,0.75,0.3281,0.0573,0.0312,0.0521,3638,0.729,0.0528,2026,Jaylon Tyson
Jayson Kent,19,2,2,2,0,0,5,0,0,0,0,1.0,2.5,0.0,0.0,0.0,0.0,42,0.4524,0.0476,2026,Jayson Kent
Jayson Tatum,1220,20,9,14,3,4,21,3,1,1,2,0.6429,1.05,0.15,0.05,0.05,0.1,1047,1.1652,0.0191,2026,Jayson Tatum
JD Davison,428,4,1,1,0,0,2,3,1,0,0,1.0,0.5,0.75,0.25,0.0,0.0,427,1.0023,0.0094,2026,JD Davison
Jeenathan Williams,261,36,12,19,2,2,26,12,3,3,1,0.6316,0.7222,0.3333,0.0833,0.0833,0.0278,477,0.5472,0.0755,2026,Jeenathan Williams
Jeff Green,194,12,4,6,0,0,8,5,1,0,0,0.6667,0.6667,0.4167,0.0833,0.0,0.0,345,0.5623,0.0348,2026,Jeff Green
Jerami Grant,2637,60,27,36,7,8,66,16,2,2,4,0.75,1.1,0.2667,0.0333,0.0333,0.0667,3599,0.7327,0.0167,2026,Jerami Grant
Jeremiah Fears,4615,80,24,42,8,10,57,25,8,5,5,0.5714,0.7125,0.3125,0.1,0.0625,0.0625,4439,1.0396,0.018,2026,Jeremiah Fears
Jeremiah Robinson-Earl,477,40,16,28,2,2,35,10,1,1,1,0.5714,0.875,0.25,0.025,0.025,0.025,756,0.631,0.0529,2026,Jeremiah Robinson-Earl
Jeremy Sochan,685,95,33,51,9,12,76,28,5,6,6,0.6471,0.8,0.2947,0.0526,0.0632,0.0632,950,0.7211,0.1,2026,Jeremy Sochan
Jericho Sims,1960,317,104,125,22,36,234,146,30,20,17,0.832,0.7382,0.4606,0.0946,0.0631,0.0536,2564,0.7644,0.1236,2026,Jericho Sims
Jett Howard,755,17,5,11,3,4,13,3,0,0,1,0.4545,0.7647,0.1765,0.0,0.0,0.0588,1420,0.5317,0.012,2026,Jett Howard
Jevon Carter,1661,12,2,4,0,0,5,7,1,0,0,0.5,0.4167,0.5833,0.0833,0.0,0.0,1787,0.9295,0.0067,2026,Jevon Carter
Jimmy Butler,2441,246,74,111,44,52,200,90,20,7,27,0.6667,0.813,0.3659,0.0813,0.0285,0.1098,2439,1.0008,0.1009,2026,Jimmy Butler
Jimmy Butler III,2441,246,74,111,44,52,200,90,20,7,27,0.6667,0.813,0.3659,0.0813,0.0285,0.1098,2439,1.0008,0.1009,2026,Jimmy Butler III
Joan Beringer,386,124,48,74,15,22,115,22,5,8,12,0.6486,0.9274,0.1774,0.0403,0.0645,0.0968,667,0.5787,0.1859,2026,Joan Beringer
Jock Landale,2182,488,168,277,44,68,386,129,25,27,30,0.6065,0.791,0.2643,0.0512,0.0553,0.0615,3116,0.7003,0.1566,2026,Jock Landale
Joe Ingles,284,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,343,0.828,0.0029,2026,Joe Ingles
Joel Embiid,2638,145,64,107,25,30,162,14,4,4,12,0.5981,1.1172,0.0966,0.0276,0.0276,0.0828,2481,1.0633,0.0584,2026,Joel Embiid
John Collins,2490,254,118,163,32,40,273,40,7,20,17,0.7239,1.0748,0.1575,0.0276,0.0787,0.0669,3701,0.6728,0.0686,2026,John Collins
John Konchar,1653,105,27,39,10,14,66,57,11,1,7,0.6923,0.6286,0.5429,0.1048,0.0095,0.0667,2388,0.6922,0.044,2026,John Konchar
John Poulakidas,270,4,1,1,0,0,2,3,1,0,0,1.0,0.5,0.75,0.25,0.0,0.0,520,0.5192,0.0077,2026,John Poulakidas
John Tonje,50,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.5747,0.0115,2026,John Tonje
Johni Broome,99,13,2,8,0,4,4,1,0,2,2,0.25,0.3077,0.0769,0.0,0.1538,0.1538,113,0.8761,0.115,2026,Johni Broome
Johnny Furphy,958,68,19,28,3,6,43,32,5,3,4,0.6786,0.6324,0.4706,0.0735,0.0441,0.0588,1326,0.7225,0.0513,2026,Johnny Furphy
Johnny Juzang,121,5,3,3,0,0,6,2,1,0,0,1.0,1.2,0.4,0.2,0.0,0.0,193,0.6269,0.0259,2026,Johnny Juzang
Jonas Valanciunas,1764,263,111,178,50,64,277,28,8,9,32,0.6236,1.0532,0.1065,0.0304,0.0342,0.1217,1721,1.025,0.1528,2026,Jonas Valanciunas
Jonas ValanÄiÅ«nas,1764,263,111,178,50,64,277,28,8,9,32,0.6236,1.0532,0.1065,0.0304,0.0342,0.1217,1721,1.025,0.1528,2026,Jonas Valaninas
Jonathan Isaac,613,91,28,46,13,18,70,22,3,6,8,0.6087,0.7692,0.2418,0.033,0.0659,0.0879,1061,0.5778,0.0858,2026,Jonathan Isaac
Jonathan Kuminga,1498,80,29,44,15,20,74,18,4,6,9,0.6591,0.925,0.225,0.05,0.075,0.1125,1729,0.8664,0.0463,2026,Jonathan Kuminga
Jonathan Mogbo,348,49,16,27,0,2,34,13,2,5,1,0.5926,0.6939,0.2653,0.0408,0.102,0.0204,512,0.6797,0.0957,2026,Jonathan Mogbo
Jordan Clarkson,1630,90,40,59,4,4,87,26,6,2,2,0.678,0.9667,0.2889,0.0667,0.0222,0.0222,2576,0.6328,0.0349,2026,Jordan Clarkson
Jordan Goodwin,2736,136,40,83,9,14,92,34,9,7,6,0.4819,0.6765,0.25,0.0662,0.0515,0.0441,3165,0.8645,0.043,2026,Jordan Goodwin
Jordan Hawkins,883,20,5,13,2,2,13,5,0,1,1,0.3846,0.65,0.25,0.0,0.05,0.05,1459,0.6052,0.0137,2026,Jordan Hawkins
Jordan McLaughlin,606,5,3,3,0,0,6,1,0,1,0,1.0,1.2,0.2,0.0,0.2,0.0,579,1.0466,0.0086,2026,Jordan McLaughlin
Jordan Miller,2006,83,38,52,17,18,95,17,2,4,9,0.7308,1.1446,0.2048,0.0241,0.0482,0.1084,2603,0.7706,0.0319,2026,Jordan Miller
Jordan Poole,1745,9,4,7,0,0,8,2,0,0,0,0.5714,0.8889,0.2222,0.0,0.0,0.0,1982,0.8804,0.0045,2026,Jordan Poole
Jordan Walsh,1237,116,44,67,7,10,101,35,7,5,5,0.6567,0.8707,0.3017,0.0603,0.0431,0.0431,2336,0.5295,0.0497,2026,Jordan Walsh
Jose Alvarado,2906,23,7,8,0,0,14,12,3,1,0,0.875,0.6087,0.5217,0.1304,0.0435,0.0,2770,1.0491,0.0083,2026,Jose Alvarado
Josh Giddey,5079,90,27,41,5,6,63,39,8,4,4,0.6585,0.7,0.4333,0.0889,0.0444,0.0444,3693,1.3753,0.0244,2026,Josh Giddey
Josh Green,795,27,5,6,0,0,10,16,2,3,0,0.8333,0.3704,0.5926,0.0741,0.1111,0.0,1794,0.4431,0.0151,2026,Josh Green
Josh Hart,3885,142,34,45,11,14,82,78,17,5,7,0.7556,0.5775,0.5493,0.1197,0.0352,0.0493,4033,0.9633,0.0352,2026,Josh Hart
Josh Minott,935,71,31,40,16,18,78,16,3,4,8,0.775,1.0986,0.2254,0.0423,0.0563,0.1127,1664,0.5619,0.0427,2026,Josh Minott
Josh Oduro,81,19,9,11,0,1,19,8,1,0,1,0.8182,1.0,0.4211,0.0526,0.0,0.0526,185,0.4378,0.1027,2026,Josh Oduro
Josh Okogie,1396,107,20,42,12,16,52,47,10,7,8,0.4762,0.486,0.4393,0.0935,0.0654,0.0748,2641,0.5286,0.0405,2026,Josh Okogie
Jrue Holiday,3599,120,26,41,3,4,57,64,17,10,2,0.6341,0.475,0.5333,0.1417,0.0833,0.0167,3291,1.0936,0.0365,2026,Jrue Holiday
Julian Champagnie,3080,96,43,55,2,4,88,27,3,10,2,0.7818,0.9167,0.2812,0.0312,0.1042,0.0208,4734,0.6506,0.0203,2026,Julian Champagnie
Julian Phillips,384,45,18,30,0,0,36,12,3,3,0,0.6,0.8,0.2667,0.0667,0.0667,0.0,911,0.4215,0.0494,2026,Julian Phillips
Julian Reese,603,129,44,76,7,12,98,30,5,11,5,0.5789,0.7597,0.2326,0.0388,0.0853,0.0388,841,0.717,0.1534,2026,Julian Reese
Julian Strawther,1240,19,9,11,1,2,19,4,0,2,1,0.8182,1.0,0.2105,0.0,0.1053,0.0526,1774,0.699,0.0107,2026,Julian Strawther
Julius Randle,4731,239,86,134,47,56,227,51,13,16,26,0.6418,0.9498,0.2134,0.0544,0.0669,0.1088,5381,0.8792,0.0444,2026,Julius Randle
Justin Champagnie,2077,212,96,139,29,32,227,42,7,8,16,0.6906,1.0708,0.1981,0.033,0.0377,0.0755,2908,0.7142,0.0729,2026,Justin Champagnie
Justin Edwards,1418,39,13,21,2,2,28,15,4,1,1,0.619,0.7179,0.3846,0.1026,0.0256,0.0256,2057,0.6894,0.019,2026,Justin Edwards
Jusuf Nurkic,2372,243,88,153,19,44,198,47,8,13,21,0.5752,0.8148,0.1934,0.0329,0.0535,0.0864,2328,1.0189,0.1044,2026,Jusuf Nurkic
Jusuf NurkiÄ‡,2372,243,88,153,19,44,198,47,8,13,21,0.5752,0.8148,0.1934,0.0329,0.0535,0.0864,2328,1.0189,0.1044,2026,Jusuf Nurki
Kadary Richmond,85,4,3,3,0,0,6,1,1,0,0,1.0,1.5,0.25,0.25,0.0,0.0,145,0.5862,0.0276,2026,Kadary Richmond
Kam Jones,1243,22,7,9,0,0,14,12,4,1,0,0.7778,0.6364,0.5455,0.1818,0.0455,0.0,1303,0.954,0.0169,2026,Kam Jones
Karl-Anthony Towns,3924,373,138,241,71,80,358,50,16,22,41,0.5726,0.9598,0.134,0.0429,0.059,0.1099,4711,0.8329,0.0792,2026,Karl-Anthony Towns
Karlo MatkoviÄ‡,1031,157,78,96,13,16,169,39,8,11,6,0.8125,1.0764,0.2484,0.051,0.0701,0.0382,1880,0.5484,0.0835,2026,Karlo Matkovi
Kasparas JakuÄionis,1736,42,11,20,2,2,24,17,3,4,1,0.55,0.5714,0.4048,0.0714,0.0952,0.0238,2054,0.8452,0.0204,2026,Kasparas Jakuionis
Kawhi Leonard,3657,121,57,81,19,21,139,23,10,3,9,0.7037,1.1488,0.1901,0.0826,0.0248,0.0744,4090,0.8941,0.0296,2026,Kawhi Leonard
Keaton Wallace,1247,4,0,0,0,0,0,3,0,0,0,0.0,0.0,0.75,0.0,0.0,0.0,1093,1.1409,0.0037,2026,Keaton Wallace
Keegan Murray,1055,43,12,20,4,4,29,18,1,2,2,0.6,0.6744,0.4186,0.0233,0.0465,0.0465,1628,0.648,0.0264,2026,Keegan Murray
Kel'el Ware,2303,437,206,317,37,50,456,63,11,21,25,0.6498,1.0435,0.1442,0.0252,0.0481,0.0572,3546,0.6495,0.1232,2026,Kel'el Ware
Keldon Johnson,2987,182,79,116,24,28,184,40,8,5,14,0.681,1.011,0.2198,0.044,0.0275,0.0769,3980,0.7505,0.0457,2026,Keldon Johnson
Kelly Olynyk,668,45,18,20,3,4,39,17,4,5,2,0.9,0.8667,0.3778,0.0889,0.1111,0.0444,737,0.9064,0.0611,2026,Kelly Olynyk
Kelly Oubre Jr.,2288,89,40,64,13,14,95,12,2,4,8,0.625,1.0674,0.1348,0.0225,0.0449,0.0899,3237,0.7068,0.0275,2026,Kelly Oubre Jr.
Kennedy Chandler,793,8,3,3,0,0,6,4,0,0,0,1.0,0.75,0.5,0.0,0.0,0.0,791,1.0025,0.0101,2026,Kennedy Chandler
Kenrich Williams,1224,93,34,51,1,2,72,33,5,4,1,0.6667,0.7742,0.3548,0.0538,0.043,0.0108,1727,0.7087,0.0539,2026,Kenrich Williams
Kentavious Caldwell-Pope,2061,20,6,10,6,6,18,7,3,0,3,0.6,0.9,0.35,0.15,0.0,0.15,2250,0.916,0.0089,2026,Kentavious Caldwell-Pope
Keon Ellis,1741,64,17,25,5,6,39,26,5,7,2,0.68,0.6094,0.4062,0.0781,0.1094,0.0312,3022,0.5761,0.0212,2026,Keon Ellis
Keshad Johnson,481,43,15,26,6,8,36,11,2,0,4,0.5769,0.8372,0.2558,0.0465,0.0,0.093,618,0.7783,0.0696,2026,Keshad Johnson
Keshon Gilbert,110,3,1,1,2,2,4,1,0,0,1,1.0,1.3333,0.3333,0.0,0.0,0.3333,151,0.7285,0.0199,2026,Keshon Gilbert
Kevin Durant,5017,64,38,46,13,14,90,6,0,4,5,0.8261,1.4062,0.0938,0.0,0.0625,0.0781,5727,0.876,0.0112,2026,Kevin Durant
Kevin Huerter,2590,103,52,77,6,10,111,18,3,0,5,0.6753,1.0777,0.1748,0.0291,0.0,0.0485,3256,0.7955,0.0316,2026,Kevin Huerter
Kevin Love,1085,58,14,35,10,12,39,13,2,3,5,0.4,0.6724,0.2241,0.0345,0.0517,0.0862,1256,0.8639,0.0462,2026,Kevin Love
Kevin McCullar Jr.,257,12,4,7,0,2,8,4,0,0,1,0.5714,0.6667,0.3333,0.0,0.0,0.0833,306,0.8399,0.0392,2026,Kevin McCullar Jr.
Kevin Porter Jr.,3025,43,13,21,2,2,30,16,3,3,1,0.619,0.6977,0.3721,0.0698,0.0698,0.0233,2559,1.1821,0.0168,2026,Kevin Porter Jr.
Kevon Looney,492,62,20,33,4,4,44,25,8,2,2,0.6061,0.7097,0.4032,0.129,0.0323,0.0323,645,0.7628,0.0961,2026,Kevon Looney
Keyonte George,4175,34,16,22,6,8,39,7,1,0,4,0.7273,1.1471,0.2059,0.0294,0.0,0.1176,3711,1.125,0.0092,2026,Keyonte George
Khaman Maluach,530,111,45,73,11,16,101,18,1,7,7,0.6164,0.9099,0.1622,0.009,0.0631,0.0631,816,0.6495,0.136,2026,Khaman Maluach
Khris Middleton,1947,58,15,30,8,10,39,20,3,1,4,0.5,0.6724,0.3448,0.0517,0.0172,0.069,2991,0.651,0.0194,2026,Khris Middleton
Killian Hayes,866,8,2,3,0,0,4,5,2,0,0,0.6667,0.5,0.625,0.25,0.0,0.0,839,1.0322,0.0095,2026,Killian Hayes
KJ Simpson,564,9,4,6,0,0,8,2,0,1,0,0.6667,0.8889,0.2222,0.0,0.1111,0.0,527,1.0702,0.0171,2026,KJ Simpson
Klay Thompson,1632,33,16,26,2,4,34,4,0,1,2,0.6154,1.0303,0.1212,0.0,0.0303,0.0606,3050,0.5351,0.0108,2026,Klay Thompson
Kobe Brown,1405,100,32,50,10,12,74,37,6,4,6,0.64,0.74,0.37,0.06,0.04,0.06,1954,0.719,0.0512,2026,Kobe Brown
Kobe Bufkin,208,2,1,1,0,0,2,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,245,0.849,0.0082,2026,Kobe Bufkin
Kobe Sanders,1843,47,19,29,2,2,42,13,3,2,1,0.6552,0.8936,0.2766,0.0638,0.0426,0.0213,2740,0.6726,0.0172,2026,Kobe Sanders
Koby Brea,151,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,162,0.9321,0.0062,2026,Koby Brea
Kon Knueppel,4146,120,30,46,10,10,72,59,9,7,5,0.6522,0.6,0.4917,0.075,0.0583,0.0417,5206,0.7964,0.0231,2026,Kon Knueppel
Kris Dunn,4154,113,29,45,4,4,62,62,18,2,0,0.6444,0.5487,0.5487,0.1593,0.0177,0.0,4394,0.9454,0.0257,2026,Kris Dunn
Kris Murray,1154,138,33,56,13,16,82,59,13,8,8,0.5893,0.5942,0.4275,0.0942,0.058,0.058,2771,0.4165,0.0498,2026,Kris Murray
Kristaps Porzingis,1242,146,53,78,36,44,148,19,1,8,22,0.6795,1.0137,0.1301,0.0068,0.0548,0.1507,1541,0.806,0.0947,2026,Kristaps Porzingis
Kristaps PorziÅ†Ä£is,1242,146,53,78,36,44,148,19,1,8,22,0.6795,1.0137,0.1301,0.0068,0.0548,0.1507,1541,0.806,0.0947,2026,Kristaps Porziis
Kyle Anderson,1430,75,26,39,4,10,57,24,7,5,5,0.6667,0.76,0.32,0.0933,0.0667,0.0667,1751,0.8167,0.0428,2026,Kyle Anderson
Kyle Filipowski,3175,249,97,152,31,43,230,50,11,13,24,0.6382,0.9237,0.2008,0.0442,0.0522,0.0964,3781,0.8397,0.0659,2026,Kyle Filipowski
