Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
Dereck Lively II,14,11,3,33,0,23,5,18,46,8,2026,Dereck Lively II,0.3333,0.1087,37,21.5
Derik Queen,136,101,35,318,13,436,148,288,750,80,2026,Derik Queen,0.3176,0.1973,572,299.5
Derrick Jones Jr.,61,33,27,109,3,112,34,78,209,23,2026,Derrick Jones Jr.,0.3028,0.1627,173,83.5
Derrick White,86,39,47,179,2,253,40,214,478,51,2026,Derrick White,0.2179,0.0837,339,98.5
Desmond Bane,98,46,52,236,8,240,52,187,430,45,2026,Desmond Bane,0.1949,0.1209,338,121.0
Devin Booker,48,25,23,151,6,200,42,155,363,37,2026,Devin Booker,0.1656,0.1157,248,79.5
Devin Carter,36,15,21,72,3,89,12,77,140,7,2026,Devin Carter,0.2083,0.0857,125,34.5
Devin Vassell,38,12,26,73,4,228,43,185,369,22,2026,Devin Vassell,0.1644,0.1165,266,61.0
Dillon Brooks,43,16,27,122,6,160,27,132,292,29,2026,Dillon Brooks,0.1311,0.0925,203,51.0
Dillon Jones,2,0,2,2,0,5,0,5,9,0,2026,Dillon Jones,0.0,0.0,7,0.0
Domantas Sabonis,64,50,14,168,4,152,44,108,246,24,2026,Domantas Sabonis,0.2976,0.1789,216,119.0
Dominick Barlow,133,75,58,245,5,207,56,151,380,31,2026,Dominick Barlow,0.3061,0.1474,340,168.5
Donovan Clingan,347,249,98,682,18,545,194,350,942,93,2026,Donovan Clingan,0.3651,0.2059,892,567.5
Donovan Mitchell,49,17,31,119,6,260,43,217,436,41,2026,Donovan Mitchell,0.1429,0.0986,309,68.5
Donte DiVincenzo,67,30,37,140,8,263,49,213,431,36,2026,Donte DiVincenzo,0.2143,0.1137,330,94.0
Dorian Finney-Smith,35,18,17,75,1,58,18,40,108,12,2026,Dorian Finney-Smith,0.24,0.1667,93,45.0
Doug McDermott,7,3,4,13,1,30,8,22,52,6,2026,Doug McDermott,0.2308,0.1538,37,12.5
Drake Powell,21,3,18,47,3,90,17,73,170,24,2026,Drake Powell,0.0638,0.1,111,21.5
Draymond Green,55,26,30,138,3,320,107,211,555,61,2026,Draymond Green,0.1884,0.1928,375,146.0
Drew Eubanks,39,19,20,89,2,88,34,53,175,26,2026,Drew Eubanks,0.2135,0.1943,127,62.5
Drew Peterson,3,1,2,7,0,6,1,5,12,1,2026,Drew Peterson,0.1429,0.0833,9,2.5
Drew Timme,10,8,2,17,0,23,4,19,47,8,2026,Drew Timme,0.4706,0.0851,33,16.0
Dru Smith,60,29,31,129,11,105,24,80,196,19,2026,Dru Smith,0.2248,0.1224,165,67.5
Duncan Robinson,28,8,19,53,0,169,37,132,278,18,2026,Duncan Robinson,0.1509,0.1331,197,49.0
Duop Reath,10,5,5,27,1,28,9,19,59,10,2026,Duop Reath,0.1852,0.1525,38,16.5
Dwight Powell,95,47,48,227,3,158,45,116,264,11,2026,Dwight Powell,0.207,0.1705,253,115.5
Dylan Cardwell,147,103,44,279,10,185,64,121,316,31,2026,Dylan Cardwell,0.3692,0.2025,332,218.5
Dylan Harper,53,31,22,123,7,179,41,138,291,15,2026,Dylan Harper,0.252,0.1409,232,87.5
Dyson Daniels,184,99,85,391,17,336,74,261,539,45,2026,Dyson Daniels,0.2532,0.1373,520,222.5
E.J. Liddell,14,9,5,44,1,54,20,34,87,9,2026,E.J. Liddell,0.2045,0.2299,68,33.5
Egor DÃ«min,21,4,17,53,2,144,31,113,230,18,2026,Egor Dmin,0.0755,0.1348,165,37.0
Elijah Harkless,10,5,5,26,1,43,13,30,87,9,2026,Elijah Harkless,0.1923,0.1494,53,20.5
Emanuel Miller,1,1,0,2,0,2,1,1,4,1,2026,Emanuel Miller,0.5,0.25,3,2.5
Enrique Freeman,2,1,1,6,1,8,2,6,12,1,2026,Enrique Freeman,0.1667,0.1667,10,3.5
Eric Gordon,1,0,1,1,0,1,0,1,1,0,2026,Eric Gordon,0.0,0.0,2,0.0
Ethan Thompson,17,8,9,36,3,52,12,40,96,11,2026,Ethan Thompson,0.2222,0.125,69,24.0
Evan Mobley,156,96,58,339,10,426,168,257,728,97,2026,Evan Mobley,0.2832,0.2308,582,312.0
Franz Wagner,43,20,23,87,1,134,22,112,201,16,2026,Franz Wagner,0.2299,0.1095,177,52.0
Gabe Vincent,17,2,15,30,3,37,10,27,74,8,2026,Gabe Vincent,0.0667,0.1351,54,13.0
Garrett Temple,1,1,0,2,0,8,3,5,12,0,2026,Garrett Temple,0.5,0.25,9,4.5
Garrison Mathews,2,0,2,6,1,15,2,13,35,4,2026,Garrison Mathews,0.0,0.0571,17,2.0
Gary Harris,16,6,10,33,1,41,7,34,70,6,2026,Gary Harris,0.1818,0.1,57,16.0
Gary Payton II,101,50,51,182,3,164,28,136,287,22,2026,Gary Payton II,0.2747,0.0976,265,103.0
Gary Trent Jr.,8,0,8,20,0,58,9,49,86,2,2026,Gary Trent Jr.,0.0,0.1047,66,9.0
GG Jackson,49,30,19,116,5,185,39,146,303,30,2026,GG Jackson,0.2586,0.1287,234,84.0
Giannis Antetokounmpo,98,68,29,194,4,254,51,203,351,25,2026,Giannis Antetokounmpo,0.3505,0.1453,352,153.0
Goga Bitadze,137,94,41,288,9,183,74,109,322,37,2026,Goga Bitadze,0.3264,0.2298,320,215.0
Gradey Dick,42,18,24,93,3,105,25,79,178,15,2026,Gradey Dick,0.1935,0.1404,147,52.0
Grant Nelson,1,1,0,9,1,5,3,2,9,1,2026,Grant Nelson,0.1111,0.3333,6,4.5
Grant Williams,46,28,19,92,3,96,39,57,193,30,2026,Grant Williams,0.3043,0.2021,142,81.0
Grayson Allen,37,9,28,92,6,118,23,94,244,27,2026,Grayson Allen,0.0978,0.0943,155,36.5
Guerschon Yabusele,56,28,28,154,9,178,46,127,317,46,2026,Guerschon Yabusele,0.1818,0.1451,234,88.0
Gui Santos,75,39,35,185,7,191,44,144,342,31,2026,Gui Santos,0.2108,0.1287,266,102.5
Harrison Barnes,63,20,43,135,5,151,48,104,261,21,2026,Harrison Barnes,0.1481,0.1839,214,78.0
Harrison Ingram,3,1,2,3,0,0,0,0,0,0,2026,Harrison Ingram,0.3333,0.0,3,1.5
Haywood Highsmith,6,3,3,15,0,7,0,7,14,2,2026,Haywood Highsmith,0.2,0.0,13,4.5
Herbert Jones,47,19,28,87,0,143,37,106,281,27,2026,Herbert Jones,0.2184,0.1317,190,65.5
Hugo GonzÃ¡lez,62,28,34,163,5,184,34,150,311,29,2026,Hugo Gonzlez,0.1718,0.1093,246,76.0
