Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
Rob Dillingham,19,3,16,52,5,110,15,95,165,13,2026,Rob Dillingham,0.0577,0.0909,129,19.5
Robert Williams III,141,89,51,235,7,274,111,163,404,30,2026,Robert Williams III,0.3787,0.2748,415,244.5
Rocco Zikarsky,2,2,0,5,0,12,4,8,18,1,2026,Rocco Zikarsky,0.4,0.2222,14,7.0
Ron Harper Jr.,15,10,5,28,0,33,8,25,52,6,2026,Ron Harper Jr.,0.3571,0.1538,48,23.0
Ronald Holland II,79,34,45,185,2,231,50,181,362,26,2026,Ronald Holland II,0.1838,0.1381,310,101.0
Royce O'Neale,59,11,48,156,6,309,78,229,495,45,2026,Royce O'Neale,0.0705,0.1576,368,94.5
Rudy Gobert,292,171,119,622,15,555,168,386,922,95,2026,Rudy Gobert,0.2749,0.1822,847,424.5
Rui Hachimura,41,14,27,91,2,185,42,142,324,25,2026,Rui Hachimura,0.1538,0.1296,226,63.0
Russell Westbrook,80,41,38,176,3,268,53,214,392,25,2026,Russell Westbrook,0.233,0.1352,348,114.5
Ryan Dunn,99,41,54,215,9,198,48,143,326,30,2026,Ryan Dunn,0.1907,0.1472,297,109.5
Ryan Kalkbrenner,167,129,38,392,15,210,98,112,465,77,2026,Ryan Kalkbrenner,0.3291,0.2108,377,291.5
Ryan Nembhard,13,4,9,37,0,118,14,104,198,17,2026,Ryan Nembhard,0.1081,0.0707,131,20.0
Ryan Rollins,53,15,38,145,4,278,62,216,492,41,2026,Ryan Rollins,0.1034,0.126,331,84.5
Saddiq Bey,121,63,58,252,7,279,58,221,447,39,2026,Saddiq Bey,0.25,0.1298,400,152.5
Sam Hauser,56,17,39,123,2,244,44,200,415,32,2026,Sam Hauser,0.1382,0.106,300,69.5
Sam Merrill,26,7,18,64,1,105,21,84,216,20,2026,Sam Merrill,0.1094,0.0972,131,31.5
Sandro Mamukelashvili,107,67,40,241,8,286,70,216,509,59,2026,Sandro Mamukelashvili,0.278,0.1375,393,170.5
Santi Aldama,67,44,22,155,4,220,44,176,355,41,2026,Santi Aldama,0.2839,0.1239,287,110.0
Scoot Henderson,18,11,7,57,4,62,13,49,124,14,2026,Scoot Henderson,0.193,0.1048,80,29.5
Scottie Barnes,148,83,65,343,8,450,122,328,706,56,2026,Scottie Barnes,0.242,0.1728,598,246.5
Scotty Pippen Jr.,8,2,6,16,1,14,1,13,23,3,2026,Scotty Pippen Jr.,0.125,0.0435,22,4.0
Sean Pedulla,0,0,0,1,0,3,1,2,4,0,2026,Sean Pedulla,0.0,0.25,3,1.0
Seth Curry,4,1,3,8,1,8,2,6,11,0,2026,Seth Curry,0.125,0.1818,12,3.5
Shaedon Sharpe,51,15,36,118,5,166,36,130,276,16,2026,Shaedon Sharpe,0.1271,0.1304,217,58.5
Shai Gilgeous-Alexander,38,10,27,125,6,254,63,191,409,36,2026,Shai Gilgeous-Alexander,0.08,0.154,292,78.0
Sharife Cooper,18,2,16,54,3,68,11,56,117,10,2026,Sharife Cooper,0.037,0.094,86,14.0
Sidy Cissoko,62,29,33,133,5,104,23,81,193,16,2026,Sidy Cissoko,0.218,0.1192,166,66.5
Simone Fontecchio,56,31,25,129,8,153,35,118,258,29,2026,Simone Fontecchio,0.2403,0.1357,209,81.5
Sion James,49,17,32,155,7,238,42,196,403,42,2026,Sion James,0.1097,0.1042,287,67.5
Skal Labissiere,3,0,3,4,0,6,2,4,17,6,2026,Skal Labissiere,0.0,0.1176,9,2.0
Spencer Jones,75,38,37,171,10,134,33,101,246,26,2026,Spencer Jones,0.2222,0.1341,209,90.0
Stephen Curry,17,4,13,63,2,137,30,107,230,19,2026,Stephen Curry,0.0635,0.1304,154,36.0
Stephon Castle,97,56,41,217,5,263,50,213,416,35,2026,Stephon Castle,0.2581,0.1202,360,134.0
Steven Adams,145,104,39,287,11,131,45,85,230,23,2026,Steven Adams,0.3624,0.1957,276,201.0
Svi Mykhailiuk,36,16,20,73,4,88,26,62,140,15,2026,Svi Mykhailiuk,0.2192,0.1857,124,50.0
T.J. McConnell,22,7,15,64,6,102,12,90,158,16,2026,T.J. McConnell,0.1094,0.0759,124,22.5
Taelon Peter,10,2,8,18,0,49,10,39,84,11,2026,Taelon Peter,0.1111,0.119,59,13.0
Taj Gibson,11,10,1,22,0,16,8,8,30,7,2026,Taj Gibson,0.4545,0.2667,27,23.0
Tari Eason,122,59,63,230,5,248,56,191,357,28,2026,Tari Eason,0.2565,0.1569,370,144.5
Taurean Prince,4,1,3,10,1,77,16,61,120,6,2026,Taurean Prince,0.1,0.1333,81,17.5
Taylor Hendricks,64,40,24,142,7,155,46,109,265,17,2026,Taylor Hendricks,0.2817,0.1736,219,106.0
Terance Mann,70,32,38,155,6,130,23,107,246,34,2026,Terance Mann,0.2065,0.0935,200,71.0
Terrence Shannon Jr.,10,6,4,27,1,39,10,29,65,2,2026,Terrence Shannon Jr.,0.2222,0.1538,49,19.0
Thanasis Antetokounmpo,12,9,3,30,0,18,5,13,24,2,2026,Thanasis Antetokounmpo,0.3,0.2083,30,18.5
Thomas Bryant,59,39,20,119,3,146,48,98,268,28,2026,Thomas Bryant,0.3277,0.1791,205,106.5
Tidjane SalaÃ¼n,26,18,8,62,2,123,35,88,183,8,2026,Tidjane Salan,0.2903,0.1913,149,62.0
Tim Hardaway Jr.,17,6,11,56,0,189,51,138,323,28,2026,Tim Hardaway Jr.,0.1071,0.1579,206,60.0
Tobias Harris,54,22,31,135,7,265,63,200,420,35,2026,Tobias Harris,0.163,0.15,319,96.0
Toby Okani,9,4,5,20,1,12,3,9,25,2,2026,Toby Okani,0.2,0.12,21,9.0
Tolu Smith,22,13,9,51,1,27,6,21,43,5,2026,Tolu Smith,0.2549,0.1395,49,25.5
Tony Bradley,60,41,19,135,3,56,16,40,96,9,2026,Tony Bradley,0.3037,0.1667,116,77.5
Tosan Evbuomwan,1,1,0,1,0,1,0,1,2,0,2026,Tosan Evbuomwan,1.0,0.0,2,1.5
Toumani Camara,129,69,60,308,15,292,64,226,524,56,2026,Toumani Camara,0.224,0.1221,421,167.5
Trae Young,4,1,3,11,1,26,2,23,37,3,2026,Trae Young,0.0909,0.0541,30,3.5
Trayce Jackson-Davis,66,43,23,141,3,79,25,53,145,31,2026,Trayce Jackson-Davis,0.305,0.1724,145,89.5
Tre Johnson,29,5,24,65,3,141,18,120,217,19,2026,Tre Johnson,0.0769,0.0829,170,25.5
Tre Jones,38,11,27,117,2,166,18,144,259,16,2026,Tre Jones,0.094,0.0695,204,34.5
Tre Mann,20,6,14,48,1,72,15,57,124,11,2026,Tre Mann,0.125,0.121,92,24.0
Trendon Watford,38,17,21,93,1,137,29,108,219,18,2026,Trendon Watford,0.1828,0.1324,175,54.5
Trentyn Flowers,1,1,0,1,0,0,0,0,0,0,2026,Trentyn Flowers,1.0,0.0,1,1.5
Trevon Scott,10,7,3,26,1,21,7,14,40,6,2026,Trevon Scott,0.2692,0.175,31,17.5
Trevor Keels,0,0,0,0,0,2,0,2,2,0,2026,Trevor Keels,0.0,0.0,2,0.0
Trey Alexander,1,0,1,3,0,10,2,8,19,3,2026,Trey Alexander,0.0,0.1053,11,2.0
Trey Jemison,8,4,4,21,3,10,4,6,22,5,2026,Trey Jemison,0.1905,0.1818,18,10.0
Trey Jemison III,8,4,4,21,3,10,4,6,22,5,2026,Trey Jemison III,0.1905,0.1818,18,10.0
Trey Murphy III,63,32,32,155,2,314,77,237,522,47,2026,Trey Murphy III,0.2065,0.1475,377,125.0
Tristan da Silva,58,18,40,164,3,226,69,156,382,37,2026,Tristan da Silva,0.1098,0.1806,284,96.0
Tristan Enaruna,7,3,4,12,1,7,0,7,10,1,2026,Tristan Enaruna,0.25,0.0,14,4.5
Tristan Vukcevic,32,20,12,77,3,115,27,88,211,27,2026,Tristan Vukcevic,0.2597,0.128,147,57.0
Tristen Newton,2,1,1,5,0,1,0,1,2,0,2026,Tristen Newton,0.2,0.0,3,1.5
Ty Jerome,11,1,10,23,0,31,12,19,53,4,2026,Ty Jerome,0.0435,0.2264,42,13.5
Tyler Burton,8,5,3,29,1,42,8,34,67,0,2026,Tyler Burton,0.1724,0.1194,50,15.5
Tyler Herro,12,5,7,47,3,137,17,120,227,20,2026,Tyler Herro,0.1064,0.0749,149,24.5
Tyler Kolek,16,7,9,43,0,82,13,69,133,12,2026,Tyler Kolek,0.1628,0.0977,98,23.5
Tyler Smith,12,5,7,26,0,21,5,16,36,4,2026,Tyler Smith,0.1923,0.1389,33,12.5
Tyrese Martin,34,13,21,64,3,82,19,63,146,15,2026,Tyrese Martin,0.2031,0.1301,116,38.5
Tyrese Maxey,24,7,17,93,3,266,44,221,454,31,2026,Tyrese Maxey,0.0753,0.0969,290,54.5
Tyrese Proctor,11,3,8,23,2,53,8,45,83,4,2026,Tyrese Proctor,0.1304,0.0964,64,12.5
Tyson Etienne,5,1,4,14,0,22,6,16,50,8,2026,Tyson Etienne,0.0714,0.12,27,7.5
TyTy Washington Jr.,1,1,0,1,0,5,1,4,10,0,2026,TyTy Washington Jr.,1.0,0.1,6,2.5
Tyus Jones,12,0,12,20,0,64,9,55,97,9,2026,Tyus Jones,0.0,0.0928,76,9.0
Victor Wembanyama,130,79,49,237,5,606,183,412,907,81,2026,Victor Wembanyama,0.3333,0.2018,736,301.5
Vince Williams Jr.,39,15,24,82,4,116,26,90,198,17,2026,Vince Williams Jr.,0.1829,0.1313,155,48.5
Vit Krejci,31,14,17,63,2,117,31,86,213,22,2026,Vit Krejci,0.2222,0.1455,148,52.0
VJ Edgecombe,122,69,53,246,6,301,68,233,523,39,2026,VJ Edgecombe,0.2805,0.13,423,171.5
Vladislav Goldin,3,2,1,6,0,6,3,3,8,0,2026,Vladislav Goldin,0.3333,0.375,9,6.0
VÃ­t KrejÄÃ­,31,14,17,63,2,117,31,86,213,22,2026,Vt Krej,0.2222,0.1455,148,52.0
Walker Kessler,23,18,5,49,1,31,7,24,62,10,2026,Walker Kessler,0.3673,0.1129,54,34.0
Walter Clayton Jr.,25,6,19,68,5,114,22,91,217,24,2026,Walter Clayton Jr.,0.0882,0.1014,139,31.0
Wendell Carter Jr.,162,121,40,440,9,415,150,263,751,95,2026,Wendell Carter Jr.,0.275,0.1997,577,331.5
Wendell Moore Jr.,1,1,0,4,0,5,0,5,10,3,2026,Wendell Moore Jr.,0.25,0.0,6,1.5
Will Richard,67,32,35,139,5,105,23,81,187,21,2026,Will Richard,0.2302,0.123,172,71.0
Will Riley,56,22,34,132,3,156,35,120,260,17,2026,Will Riley,0.1667,0.1346,212,68.0
Xavier Tillman,19,11,8,37,0,24,8,16,32,1,2026,Xavier Tillman,0.2973,0.25,43,24.5
Yang Hansen,20,10,10,55,2,46,20,26,98,16,2026,Yang Hansen,0.1818,0.2041,66,35.0
Yanic Konan NiederhÃ¤user,37,25,12,95,7,80,20,60,163,11,2026,Yanic Konan Niederhuser,0.2632,0.1227,117,57.5
Yuki Kawamura,6,0,6,15,0,25,1,24,46,6,2026,Yuki Kawamura,0.0,0.0217,31,1.0
Yves Missi,183,139,44,384,6,202,61,141,415,44,2026,Yves Missi,0.362,0.147,385,269.5
Zaccharie Risacher,71,44,27,166,12,186,48,138,304,31,2026,Zaccharie Risacher,0.2651,0.1579,257,114.0
Zach Collins,16,12,4,44,2,40,15,25,68,9,2026,Zach Collins,0.2727,0.2206,56,33.0
Zach Edey,43,29,14,87,0,79,27,52,133,19,2026,Zach Edey,0.3333,0.203,122,70.5
Zach LaVine,8,2,6,41,3,100,19,81,176,16,2026,Zach LaVine,0.0488,0.108,108,22.0
Zeke Nnaji,33,20,13,91,3,103,27,76,167,11,2026,Zeke Nnaji,0.2198,0.1617,136,57.0
Ziaire Williams,30,11,19,79,5,104,19,85,155,5,2026,Ziaire Williams,0.1392,0.1226,134,35.5
Zion Williamson,125,94,31,297,8,228,81,147,355,33,2026,Zion Williamson,0.3165,0.2282,353,222.0
Zyon Pullin,1,0,1,3,0,2,0,2,7,1,2026,Zyon Pullin,0.0,0.0,3,0.0
