player,season_year,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,def_rim_fga_per_poss,rim_protection_above_avg,dsv_proxy,possessions
Naz Reid,2026,75,77,383,165,273,0.6044,0.0658,0.0611,206.18,4150
Neemias Queta,2026,60,100,406,201,348,0.5776,0.0925,0.0879,220.59,3763
Nic Claxton,2026,45,77,310,195,325,0.6,0.0838,0.0655,165.79,3880
Nick Richards,2026,10,32,166,105,157,0.6688,0.107,-0.0033,46.48,1467
Nick Smith Jr.,2026,9,2,20,22,27,0.8148,0.0346,-0.1493,11.47,781
Nickeil Alexander-Walker,2026,102,42,216,196,264,0.7424,0.0474,-0.0769,174.7,5572
Nicolas Batum,2026,46,23,155,98,131,0.7481,0.051,-0.0826,81.18,2568
Nigel Hayes,2026,8,2,21,8,11,0.7273,0.0268,-0.0618,13.32,411
Nigel Hayes-Davis,2026,8,2,21,8,11,0.7273,0.0268,-0.0618,13.32,411
Nikola Joki,2026,92,53,644,295,448,0.6585,0.0937,0.007,194.14,4782
Nikola Jovi,2026,26,17,127,83,135,0.6148,0.0766,0.0507,62.84,1763
Nikola Topi,2026,5,0,12,7,10,0.7,0.0301,-0.0345,7.16,332
Nikola Vucevic,2026,39,41,412,207,319,0.6489,0.0843,0.0166,104.8,3783
Nikola Vuevi,2026,39,41,412,207,319,0.6489,0.0843,0.0166,104.8,3783
Nique Clifford,2026,68,24,217,107,157,0.6815,0.0401,-0.016,123.49,3912
Noa Essengue,2026,1,0,0,0,0,0.0,0.0,0.6655,1.5,14
Noah Clowney,2026,50,45,221,180,281,0.6406,0.0779,0.0249,127.0,3607
Noah Penda,2026,30,18,120,81,124,0.6532,0.0781,0.0123,64.53,1587
Nolan Traore,2026,45,23,85,73,109,0.6697,0.0434,-0.0042,90.04,2514
Norchad Omier,2026,1,0,3,2,3,0.6667,0.0577,-0.0012,1.5,52
Norman Powell,2026,62,14,175,75,104,0.7212,0.0289,-0.0557,101.21,3594
Obi Toppin,2026,12,1,93,18,25,0.72,0.0279,-0.0545,17.64,897
Ochai Agbaji,2026,24,17,95,54,86,0.6279,0.0429,0.0376,56.23,2005
OG Anunoby,2026,104,48,266,121,190,0.6368,0.042,0.0287,209.45,4526
Olivier Sarr,2026,2,3,9,4,7,0.5714,0.0769,0.0941,6.66,91
Olivier-Maxence Prosper,2026,40,13,128,107,161,0.6646,0.0762,0.0009,73.14,2112
Omer Yurtseven,2026,2,1,17,17,22,0.7727,0.0991,-0.1072,1.64,222
Onyeka Okongwu,2026,82,79,422,230,361,0.6371,0.0737,0.0284,212.25,4900
Orlando Robinson,2026,1,0,2,9,9,1.0,0.18,-0.3345,-1.51,50
Oscar Tshiebwe,2026,16,5,102,67,87,0.7701,0.09,-0.1046,19.9,967
Oso Ighodaro,2026,73,57,280,185,325,0.5692,0.0893,0.0963,197.8,3641
Ousmane Dieng,2026,25,17,151,88,124,0.7097,0.0548,-0.0442,49.02,2262
P.J. Washington,2026,51,60,303,133,230,0.5783,0.0647,0.0872,156.56,3556
Pacme Dadiet,2026,3,1,23,14,19,0.7368,0.0635,-0.0713,4.15,299
Paolo Banchero,2026,51,40,519,214,318,0.673,0.0609,-0.0075,114.12,5223
Pascal Siakam,2026,69,25,322,167,242,0.6901,0.056,-0.0246,122.55,4325
Pat Connaughton,2026,11,1,46,14,26,0.5385,0.0431,0.127,20.8,603
Pat Spencer,2026,48,5,105,94,125,0.752,0.0502,-0.0865,66.19,2490
Patrick Baldwin Jr.,2026,3,5,11,9,19,0.4737,0.088,0.1918,13.14,216
Patrick Williams,2026,49,26,166,131,176,0.7443,0.0552,-0.0788,85.63,3188
Paul George,2026,62,16,176,67,122,0.5492,0.0524,0.1163,123.19,2330
Paul Reed,2026,56,60,158,94,179,0.5251,0.0973,0.1404,169.13,1839
Payton Pritchard,2026,58,10,243,75,100,0.75,0.0199,-0.0845,88.55,5019
Payton Sandfort,2026,1,0,9,3,3,1.0,0.0222,-0.3345,0.5,135
Pelle Larsson,2026,47,15,172,84,125,0.672,0.0321,-0.0065,84.69,3898
Pete Nance,2026,14,14,98,58,96,0.6042,0.0648,0.0613,40.88,1481
Peyton Watson,2026,50,61,215,119,189,0.6296,0.0576,0.0359,142.79,3283
PJ Hall,2026,3,10,42,20,38,0.5263,0.085,0.1392,19.79,447
Precious Achiuwa,2026,65,50,315,183,285,0.6421,0.0791,0.0234,154.17,3604
Quentin Grimes,2026,64,28,227,119,154,0.7727,0.0334,-0.1072,107.49,4616
Quenton Jackson,2026,31,6,86,54,75,0.72,0.039,-0.0545,48.41,1923
Quinten Post,2026,26,35,201,136,233,0.5837,0.0975,0.0818,93.06,2389
Rasheer Fleming,2026,22,21,67,35,60,0.5833,0.0445,0.0822,58.93,1347
Rayan Rupert,2026,55,9,140,89,121,0.7355,0.0533,-0.07,83.03,2271
RayJ Dennis,2026,4,4,18,10,13,0.7692,0.0293,-0.1037,8.65,444
Reed Sheppard,2026,122,54,210,145,196,0.7398,0.0456,-0.0743,222.44,4297
Riley Minix,2026,2,1,4,4,6,0.6667,0.0441,-0.0012,3.99,136
RJ Barrett,2026,42,19,245,108,155,0.6968,0.0435,-0.0313,77.15,3560
Rob Dillingham,2026,47,6,112,64,82,0.7805,0.0387,-0.115,67.07,2121
Robert Williams III,2026,35,87,274,108,205,0.5268,0.0972,0.1387,167.93,2108
Rocco Zikarsky,2026,0,5,12,8,12,0.6667,0.1667,-0.0012,4.99,72
Ron Harper Jr.,2026,10,9,33,20,25,0.8,0.0396,-0.1345,20.64,631
Ronald Holland II,2026,89,27,232,75,105,0.7143,0.033,-0.0488,155.38,3185
Royce O'Neale,2026,84,32,313,163,209,0.7799,0.046,-0.1144,134.09,4546
Rudy Gobert,2026,56,124,564,245,452,0.542,0.0925,0.1235,263.82,4885
Rui Hachimura,2026,39,21,185,140,192,0.7292,0.0481,-0.0637,67.27,3991
Russell Westbrook,2026,83,12,268,91,121,0.7521,0.0311,-0.0866,126.02,3888
Ryan Dunn,2026,60,29,198,89,143,0.6224,0.0522,0.0431,125.16,2741
Ryan Kalkbrenner,2026,32,101,210,185,337,0.549,0.1116,0.1165,188.26,3020
Ryan Nembhard,2026,23,2,112,57,75,0.76,0.0325,-0.0945,29.41,2307
Ryan Rollins,2026,109,31,278,156,219,0.7123,0.0459,-0.0468,184.25,4774
Saddiq Bey,2026,68,7,279,104,138,0.7536,0.0292,-0.0881,96.84,4718
Sam Hauser,2026,38,23,244,102,154,0.6623,0.0402,0.0032,80.49,3831
Sam Merrill,2026,32,7,105,70,95,0.7368,0.0341,-0.0713,48.23,2789
Sandro Mamukelashvili,2026,64,41,287,221,328,0.6738,0.0905,-0.0083,134.28,3623
Santi Aldama,2026,37,31,220,112,176,0.6364,0.0693,0.0291,91.62,2540
Scoot Henderson,2026,27,9,62,51,73,0.6986,0.0463,-0.0331,47.08,1577
Scottie Barnes,2026,114,116,451,243,387,0.6279,0.0703,0.0376,301.55,5507
Scotty Pippen Jr.,2026,19,4,14,13,14,0.9286,0.0308,-0.2631,28.82,454
Sean Pedulla,2026,0,0,3,1,2,0.5,0.0299,0.1655,0.33,67
Seth Curry,2026,3,0,8,11,12,0.9167,0.0456,-0.2512,1.49,263
Shaedon Sharpe,2026,70,6,166,86,115,0.7478,0.0368,-0.0823,101.54,3129
Shai Gilgeous-Alexander,2026,95,52,254,104,177,0.5876,0.0374,0.0779,208.29,4728
Sharife Cooper,2026,16,5,68,40,50,0.8,0.0336,-0.1345,22.28,1490
Sidy Cissoko,2026,52,25,104,75,122,0.6148,0.0405,0.0507,109.19,3016
Simone Fontecchio,2026,37,9,153,83,123,0.6748,0.0489,-0.0093,63.36,2517
Sion James,2026,52,20,238,90,142,0.6338,0.0375,0.0317,102.5,3791
Skal Labissiere,2026,2,1,6,11,14,0.7857,0.1818,-0.1202,2.32,77
Spencer Jones,2026,52,29,134,84,124,0.6774,0.0425,-0.0119,105.52,2915
Stanley Umude,2026,1,0,0,2,2,1.0,0.1333,-0.3345,0.83,15
Stephen Curry,2026,49,17,137,41,59,0.6949,0.0209,-0.0294,88.77,2825
Stephon Castle,2026,78,19,264,97,140,0.6929,0.0328,-0.0274,132.16,4270
Steven Adams,2026,22,20,131,80,117,0.6838,0.081,-0.0183,50.86,1444
Svi Mykhailiuk,2026,26,3,88,55,76,0.7237,0.031,-0.0582,37.58,2448
T.J. McConnell,2026,56,10,102,45,60,0.75,0.0297,-0.0845,88.93,2019
Taelon Peter,2026,26,4,49,53,65,0.8154,0.0609,-0.1499,33.26,1067
Taj Gibson,2026,2,1,16,13,20,0.65,0.0985,0.0155,4.31,203
Tari Eason,2026,72,28,251,103,141,0.7305,0.0447,-0.065,126.84,3152
Taurean Prince,2026,16,6,77,37,49,0.7551,0.0391,-0.0896,25.61,1253
Taylor Hendricks,2026,50,30,155,115,172,0.6686,0.0729,-0.0031,104.47,2359
Terance Mann,2026,41,15,130,91,135,0.6741,0.0438,-0.0086,75.34,3079
Terrence Shannon Jr.,2026,14,1,39,26,38,0.6842,0.0336,-0.0187,21.29,1132
Thanasis Antetokounmpo,2026,13,6,18,13,21,0.619,0.0658,0.0465,26.48,319
Thomas Bryant,2026,18,26,146,78,160,0.4875,0.1038,0.178,81.48,1541
Tidjane Salan,2026,16,7,123,42,62,0.6774,0.0527,-0.0119,30.26,1176
Tim Hardaway Jr.,2026,42,10,189,118,154,0.7662,0.0349,-0.1007,57.49,4409
Tobias Harris,2026,58,26,265,78,125,0.624,0.0354,0.0415,118.19,3535
Toby Okani,2026,4,3,12,23,34,0.6765,0.0704,-0.011,8.63,483
Tolu Smith,2026,2,6,27,13,26,0.5,0.0929,0.1655,13.3,280
Tony Bradley,2026,6,7,56,45,67,0.6716,0.0715,-0.0061,15.59,937
Tosan Evbuomwan,2026,0,0,1,0,1,0.0,0.05,0.6655,0.67,20
Toumani Camara,2026,94,35,292,202,282,0.7163,0.0491,-0.0508,161.67,5749
Trae Young,2026,13,2,26,23,27,0.8519,0.032,-0.1864,16.47,844
