Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
Bryce McGowens,1147,7,2,3,1,2,5,3,0,0,1,0.6667,0.7143,0.4286,0.0,0.0,0.1429,1855,0.6183,0.0038,2026
Bub Carrington,4855,17,3,4,0,0,6,13,6,0,0,0.75,0.3529,0.7647,0.3529,0.0,0.0,4822,1.0068,0.0035,2026
Buddy Boeheim,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.4,0.0,2026
Buddy Hield,1514,26,12,14,2,4,26,10,2,0,2,0.8571,1.0,0.3846,0.0769,0.0,0.0769,1723,0.8787,0.0151,2026
Cade Cunningham,5583,61,19,27,6,8,45,24,6,5,4,0.7037,0.7377,0.3934,0.0984,0.082,0.0656,4396,1.27,0.0139,2026
Caleb Houstan,94,2,1,2,0,0,2,0,0,0,0,0.5,1.0,0.0,0.0,0.0,0.0,155,0.6065,0.0129,2026
Caleb Love,1849,11,5,6,0,0,10,5,0,0,0,0.8333,0.9091,0.4545,0.0,0.0,0.0,2124,0.8705,0.0052,2026
Caleb Martin,1027,16,1,4,0,1,3,10,1,1,1,0.25,0.1875,0.625,0.0625,0.0625,0.0625,1780,0.577,0.009,2026
Cam Christie,711,6,1,1,2,2,4,3,0,0,1,1.0,0.6667,0.5,0.0,0.0,0.1667,945,0.7524,0.0063,2026
Cam Spencer,3809,26,5,8,0,0,10,18,3,0,0,0.625,0.3846,0.6923,0.1154,0.0,0.0,3556,1.0711,0.0073,2026
Cam Thomas,1721,12,3,6,0,0,7,4,1,1,0,0.5,0.5833,0.3333,0.0833,0.0833,0.0,1735,0.9919,0.0069,2026
Cam Whitmore,432,8,4,8,0,0,10,0,0,0,0,0.5,1.25,0.0,0.0,0.0,0.0,758,0.5699,0.0106,2026
Cameron Johnson,2013,32,12,17,1,2,26,12,1,0,1,0.7059,0.8125,0.375,0.0312,0.0,0.0312,3414,0.5896,0.0094,2026
Cameron Payne,887,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,794,1.1171,0.0013,2026
Caris LeVert,2080,20,5,8,2,2,12,7,2,3,1,0.625,0.6,0.35,0.1,0.15,0.05,2367,0.8787,0.0084,2026
Carter Bryant,1001,26,3,8,0,2,6,15,4,1,1,0.375,0.2308,0.5769,0.1538,0.0385,0.0385,1663,0.6019,0.0156,2026
Cason Wallace,2829,41,9,11,2,4,20,25,6,2,1,0.8182,0.4878,0.6098,0.1463,0.0488,0.0244,4244,0.6666,0.0097,2026
Cedric Coward,3400,34,10,15,8,10,29,13,2,0,5,0.6667,0.8529,0.3824,0.0588,0.0,0.1471,3377,1.0068,0.0101,2026
Chaney Johnson,505,30,4,8,10,10,18,12,3,4,3,0.5,0.6,0.4,0.1,0.1333,0.1,713,0.7083,0.0421,2026
Charles Bassey,248,13,3,7,1,2,7,3,0,1,1,0.4286,0.5385,0.2308,0.0,0.0769,0.0769,310,0.8,0.0419,2026
Chaz Lanier,251,3,1,1,0,0,2,2,0,0,0,1.0,0.6667,0.6667,0.0,0.0,0.0,537,0.4674,0.0056,2026
Chet Holmgren,3116,119,33,57,10,14,78,39,10,12,6,0.5789,0.6555,0.3277,0.084,0.1008,0.0504,4117,0.7569,0.0289,2026
