player,team,minutes,off_poss,pts,fg2m,fg2a,Fg2Pct,fg3m,fg3a,Fg3Pct,non_heave_fg3_pct,ft_pts,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,assisted_2s_pct,NonPutbacksAssisted2sPct,assisted_3s_pct,fg3a_rate,shot_quality,efg_pct,ts_pct,pts_putbacks,fg2a_blocked,FG2APctBlocked,fg3a_blocked,FG3APctBlocked,usage,ppp,creation_rate
Corey Kispert,ATL,89,197,56,13,23,0.5652173913043478,8,20,0.4,0.4,6,22,4,24,0,0.8461538461538461,0.8461538461538461,1.0,0.4651162790697674,0.5826127906976745,0.5813953488372093,0.6222222222222222,0,1,0.0434782608695652,0,0.0,23.041474654377883,0.2843,0.0769
Paul Reed,DET,86,174,50,19,28,0.6785714285714286,3,8,0.375,0.375,3,30,8,9,0,0.7894736842105263,0.8333333333333334,1.0,0.2222222222222222,0.5561833333333333,0.6527777777777778,0.6578947368421053,2,1,0.0357142857142857,1,0.125,21.07843137254902,0.2874,0.1053
Jaylin Williams,OKC,85,175,39,5,9,0.5555555555555556,9,28,0.3214285714285714,0.3214285714285714,2,10,0,27,0,1.0,1.0,1.0,0.7567567567567568,0.5383081081081081,0.5,0.5,0,0,0.0,0,0.0,21.693121693121693,0.2229,0.0
Javon Small,MEM,85,174,43,5,10,0.5,9,13,0.6923076923076923,0.6923076923076923,6,4,6,12,15,0.4,0.4,0.4444444444444444,0.5652173913043478,0.5772956521739129,0.8043478260869565,0.8269230769230769,0,2,0.2,0,0.0,19.270833333333336,0.2471,0.5778
Drew Eubanks,SAC,84,173,25,12,21,0.5714285714285714,0,0,0.0,0.0,1,18,6,0,0,0.75,1.0,0.0,0.0,0.4943761904761904,0.5714285714285714,0.5434782608695652,6,2,0.0952380952380952,0,0.0,13.989637305699482,0.1445,0.625
Justin Edwards,PHI,83,179,54,10,15,0.6666666666666666,11,18,0.6111111111111112,0.6111111111111112,1,10,10,24,9,0.5,0.5,0.7272727272727273,0.5454545454545454,0.5292181818181818,0.803030303030303,0.8181818181818182,0,0,0.0,0,0.0,18.7192118226601,0.3017,0.3864
Vít Krejčí,ATL,82,174,11,1,4,0.25,2,16,0.125,0.125,3,2,0,6,0,1.0,1.0,1.0,0.8,0.5646824999999999,0.2,0.25,0,0,0.0,0,0.0,13.297872340425531,0.0632,0.0
Zach Edey,MEM,81,167,47,20,29,0.6896551724137931,1,1,1.0,1.0,4,32,8,3,0,0.8,0.8888888888888888,1.0,0.0333333333333333,0.6043066666666665,0.7166666666666667,0.734375,4,0,0.0,0,0.0,20.942408376963357,0.2814,0.1
Simone Fontecchio,MIA,80,172,41,4,7,0.5714285714285714,9,18,0.5,0.5,6,6,2,27,0,0.75,1.0,1.0,0.72,0.578512,0.7,0.7592592592592593,2,0,0.0,1,0.0555555555555555,14.57286432160804,0.2384,0.125
Jaxson Hayes,LAL,78,159,38,15,19,0.7894736842105263,1,1,1.0,1.0,5,28,2,3,0,0.9333333333333332,1.0,1.0,0.05,0.65526,0.825,0.7916666666666666,2,0,0.0,0,0.0,14.367816091954024,0.239,0.0333
