bbref_id,nba_id,player_name,source,confidence
clarkga01,1629109,Gary Clark,authoritative,high
clarkja02,1641740,Jaylen Clark,stub_reconstruction,high
clarkjo01,203903,Jordan Clarkson,authoritative,high
claxtni01,1629651,Nic Claxton,stub_reconstruction,high
clingdo01,1642270,Donovan Clingan,stub_reconstruction,high
clownno01,1641730,Noah Clowney,stub_reconstruction,high
coffeam01,1629599,Amir Coffey,stub_reconstruction,high
collida01,201954,Darren Collison,authoritative,high
colliis01,1642268,Isaiah Collier,stub_reconstruction,high
collijo01,1628381,John Collins,authoritative,high
colliyu01,1641879,Yuri Collins,stub_reconstruction,high
colliza01,1628380,Zach Collins,authoritative,high
comanch01,1628435,Chance Comanche,stub_reconstruction,high
conlemi01,201144,Mike Conley,authoritative,high
connapa01,1626192,Pat Connaughton,authoritative,high
cookqu01,1626188,Quinn Cook,authoritative,high
cooksxa01,1641645,Xavier Cooks,stub_reconstruction,high
cookty01,1629076,Tyler Cook,stub_reconstruction,high
coopesh01,1630536,Sharife Cooper,stub_reconstruction,high
cornepe01,1627822,Petr Cornelie,stub_reconstruction,high
coulibi01,1641731,Bilal Coulibaly,stub_reconstruction,high
councri01,1641741,Ricky Council IV,stub_reconstruction,high
couside01,202326,DeMarcus Cousins,authoritative,high
covinro01,203496,Robert Covington,authoritative,high
craigto01,1628470,Torrey Craig,authoritative,high
crawfis01,1642384,Isaiah Crawford,stub_reconstruction,high
crowdja01,203109,Jae Crowder,authoritative,high
crutcja01,1630622,Jalen Crutcher,stub_reconstruction,high
culveja01,1629633,Jarrett Culver,stub_reconstruction,high
cumbeja01,1629600,Jarron Cumberland,stub_reconstruction,high
cunnica01,1630595,Cade Cunningham,stub_reconstruction,high
curryse01,203552,Seth Curry,authoritative,high
curryst01,201939,Stephen Curry,authoritative,high
dadiepa01,1642359,Pacome Dadiet,stub_reconstruction,high
daniedy01,1630700,Dyson Daniels,stub_reconstruction,high
darlina01,1630268,Nate Darling,stub_reconstruction,high
dasiltr01,1641783,Tristan da Silva,stub_reconstruction,high
davisan02,203076,Anthony Davis,authoritative,high
davised01,202334,Ed Davis,authoritative,high
davisjd01,1631120,JD Davison,stub_reconstruction,high
davisjo06,1631098,Johnny Davis,stub_reconstruction,high
daviste02,1629056,Terence Davis,stub_reconstruction,high
daysda01,1630620,Darius Days,stub_reconstruction,high
deckga01,1630466,Gabriel Deck,stub_reconstruction,high
dedmode01,203473,Dewayne Dedmon,authoritative,high
delauja01,1629602,Javin DeLaurier,stub_reconstruction,high
dellama01,203521,Matthew Dellavedova,authoritative,high
dennide01,1641926,Dexter Dennis,stub_reconstruction,high
dennira01,1642484,RayJ Dennis,stub_reconstruction,high
derozde01,201942,DeMar DeRozan,authoritative,high
diabamo01,1630542,Moussa Diabate,stub_reconstruction,high
diakima01,1629603,Mamadi Diakite,stub_reconstruction,high
diallch01,1627767,Cheick Diallo,authoritative,high
diallha01,1628977,Hamidou Diallo,authoritative,high
dickgr01,1641711,Gradey Dick,stub_reconstruction,high
