entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz
2037,2014,,,,,,,,,,,,,,,,,,,198.0,105.0,,443.0,161.0,993.0,0.505,0.1994,0.4461,-2.112,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2037,2015,,,,,,,,,,,,,,,,,,,184.0,105.0,,341.0,117.0,910.0,0.4786,0.2022,0.3747,-2.684,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2037,2016,,,,,,,,,,,,,,,,,,,184.0,105.0,,341.0,117.0,910.0,0.4786,0.2022,0.3747,-2.684,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2037,2017,,,,,,,,,,,,,,,,,,,161.0,80.0,,321.0,116.0,852.0,0.4894,0.189,0.3768,-2.802,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2037,2019,,,,,,,,,,,,,,,,,,,43.0,20.0,192.0,202.0,67.0,437.0,0.4748,0.0984,0.4622,-0.0252,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
2037,2020,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,1.0,4.0,0.625,0.0,0.5,0.125,,,,,shot_zones,low,,,,,,,,,,,,,,,,,
2045,2014,,,,,,,,,,,,,,,,,,,22.0,11.0,,49.0,22.0,102.0,0.5196,0.2157,0.4803,-1.525,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2199,2014,,,,,,,,,,,,,,,,,,,259.0,173.0,,1.0,0.0,302.0,0.6324,0.8576,0.0033,2.775,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2199,2015,,,,,,,,,,,,,,,,,,,258.0,178.0,,1.0,0.0,291.0,0.6288,0.8866,0.0034,2.558,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2199,2016,,,,,,,,,,,,,,,,,,,258.0,178.0,,1.0,0.0,291.0,0.6288,0.8866,0.0034,2.558,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
