entity_id,season_year,u10_fg2m,u10_fg2a,o10_fg2m,o10_fg2a,fg3m,fg3a,open_cs_fg3m,open_cs_fg3a,off_drbl_fg3m,off_drbl_fg3a,off_drbl_fg2m,off_drbl_fg2a,contested_fg3a,contested_fg3m,contested_fg2a,contested_fg2m,wide_open_fg3a,wide_open_fg3m,total_fga_sz,three_rate_sz,open_cs_3_rate,off_drbl_rate,contested_shot_rate,open_cs_fg3_pct,off_drbl_fg3_pct
2744,2018,76,112,35,74,0,3,0.0,2.0,0.0,0.0,8.0,15.0,1.0,0.0,104.0,70.0,1.0,0.0,189,0.0159,0.0106,0.0794,0.5556,0.0,
2746,2018,1,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.75,,
2747,2018,48,93,49,115,143,380,101.0,242.0,8.0,23.0,29.0,55.0,80.0,25.0,73.0,32.0,137.0,52.0,588,0.6463,0.4116,0.1327,0.2602,0.4174,0.3478
2749,2018,29,44,25,67,41,124,24.0,68.0,12.0,33.0,18.0,25.0,9.0,4.0,31.0,24.0,60.0,18.0,235,0.5277,0.2894,0.2468,0.1702,0.3529,0.3636
2754,2018,39,62,1,6,4,12,4.0,10.0,0.0,0.0,5.0,8.0,2.0,0.0,52.0,31.0,8.0,4.0,80,0.15,0.125,0.1,0.675,0.4,
2772,2018,97,159,1,10,170,461,132.0,317.0,2.0,11.0,21.0,38.0,78.0,21.0,129.0,71.0,223.0,93.0,630,0.7317,0.5032,0.0778,0.3286,0.4164,0.1818
2772,2022,13,23,0,2,20,74,18.0,63.0,0.0,0.0,0.0,1.0,6.0,1.0,17.0,9.0,38.0,13.0,99,0.7475,0.6364,0.0101,0.2323,0.2857,
2863,2018,6,12,3,9,4,18,4.0,16.0,0.0,0.0,2.0,6.0,1.0,0.0,11.0,5.0,9.0,2.0,39,0.4615,0.4103,0.1538,0.3077,0.25,
101106,2018,15,20,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,24,0.0,0.0,0.0,0.7083,,
101107,2018,102,170,30,65,126,305,118.0,285.0,0.0,0.0,11.0,15.0,12.0,4.0,143.0,84.0,188.0,86.0,540,0.5648,0.5278,0.0278,0.287,0.414,
101108,2018,83,136,140,269,144,375,25.0,61.0,96.0,256.0,66.0,113.0,58.0,21.0,83.0,43.0,107.0,38.0,780,0.4808,0.0782,0.4731,0.1808,0.4098,0.375
101108,2022,66,105,231,423,61,194,18.0,51.0,31.0,106.0,53.0,87.0,20.0,3.0,73.0,41.0,65.0,27.0,722,0.2687,0.0706,0.2673,0.1288,0.3529,0.2925
101108,2023,34,80,162,327,98,261,45.0,87.0,40.0,129.0,24.0,60.0,35.0,7.0,59.0,25.0,98.0,44.0,668,0.3907,0.1302,0.2829,0.1407,0.5172,0.3101
101108,2024,27,43,99,208,76,207,46.0,107.0,19.0,62.0,19.0,33.0,16.0,1.0,29.0,16.0,101.0,39.0,458,0.452,0.2336,0.2074,0.0983,0.4299,0.3065
101109,2018,68,112,69,174,78,224,52.0,130.0,15.0,50.0,55.0,91.0,23.0,5.0,95.0,56.0,124.0,46.0,510,0.4392,0.2549,0.2765,0.2314,0.4,0.3
101112,2018,41,52,24,44,39,112,37.0,102.0,0.0,0.0,6.0,7.0,6.0,1.0,45.0,35.0,71.0,28.0,208,0.5385,0.4904,0.0337,0.2452,0.3627,
101123,2018,32,59,26,50,110,297,67.0,165.0,21.0,42.0,9.0,22.0,80.0,23.0,47.0,25.0,99.0,45.0,406,0.7315,0.4064,0.1576,0.3128,0.4061,0.5
101127,2018,75,129,87,205,24,84,12.0,38.0,7.0,26.0,52.0,95.0,18.0,3.0,99.0,57.0,38.0,16.0,418,0.201,0.0909,0.2895,0.2799,0.3158,0.2692
101133,2018,137,212,1,7,0,2,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,182.0,114.0,1.0,0.0,221,0.009,0.009,0.0181,0.8235,0.0,
101139,2018,49,86,13,44,162,447,104.0,281.0,4.0,11.0,9.0,24.0,135.0,43.0,77.0,44.0,133.0,56.0,577,0.7747,0.487,0.0607,0.3674,0.3701,0.3636
101141,2018,140,223,46,113,91,253,72.0,181.0,0.0,4.0,7.0,9.0,43.0,13.0,181.0,111.0,102.0,37.0,589,0.4295,0.3073,0.0221,0.3803,0.3978,0.0
101150,2018,244,405,147,330,185,505,71.0,188.0,48.0,143.0,158.0,267.0,121.0,42.0,353.0,209.0,149.0,55.0,1240,0.4073,0.1516,0.3306,0.3823,0.3777,0.3357
101150,2022,37,75,51,143,37,102,18.0,46.0,6.0,25.0,18.0,41.0,18.0,5.0,61.0,30.0,33.0,20.0,320,0.3188,0.1438,0.2062,0.2469,0.3913,0.24
101161,2018,124,189,6,12,10,32,10.0,30.0,0.0,0.0,3.0,7.0,0.0,0.0,165.0,105.0,28.0,10.0,233,0.1373,0.1288,0.03,0.7082,0.3333,
101162,2018,240,397,50,110,0,0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,0.0,336.0,202.0,0.0,0.0,507,0.0,0.0,0.0414,0.6627,,
101181,2018,26,33,22,47,45,97,31.0,63.0,6.0,17.0,20.0,25.0,12.0,6.0,24.0,17.0,48.0,25.0,177,0.548,0.3559,0.2373,0.2034,0.4921,0.3529
200746,2018,393,600,267,612,27,91,23.0,74.0,1.0,1.0,72.0,144.0,10.0,1.0,535.0,341.0,65.0,20.0,1303,0.0698,0.0568,0.1113,0.4183,0.3108,1.0
200746,2022,98,152,136,254,14,46,14.0,42.0,0.0,0.0,11.0,24.0,3.0,0.0,133.0,82.0,26.0,8.0,452,0.1018,0.0929,0.0531,0.3009,0.3333,
200752,2018,133,217,83,177,37,118,29.0,89.0,3.0,13.0,40.0,80.0,11.0,2.0,187.0,115.0,63.0,22.0,512,0.2305,0.1738,0.1816,0.3867,0.3258,0.2308
200752,2022,56,93,31,83,70,203,52.0,148.0,4.0,16.0,5.0,14.0,32.0,9.0,79.0,43.0,71.0,29.0,379,0.5356,0.3905,0.0792,0.2929,0.3514,0.25
200752,2023,38,74,38,83,33,130,25.0,105.0,0.0,2.0,5.0,11.0,9.0,3.0,60.0,30.0,64.0,17.0,287,0.453,0.3659,0.0453,0.2404,0.2381,0.0
200755,2018,55,86,154,303,188,448,111.0,242.0,7.0,24.0,10.0,20.0,105.0,44.0,70.0,45.0,185.0,92.0,837,0.5352,0.2891,0.0526,0.2091,0.4587,0.2917
200757,2018,68,100,18,38,32,83,29.0,77.0,0.0,1.0,12.0,22.0,2.0,1.0,77.0,50.0,67.0,24.0,221,0.3756,0.3484,0.1041,0.3575,0.3766,0.0
200765,2018,151,242,27,71,50,150,31.0,104.0,12.0,24.0,96.0,164.0,0.0,0.0,195.0,116.0,121.0,41.0,463,0.324,0.2246,0.406,0.4212,0.2981,0.5
200765,2022,30,65,7,24,31,88,25.0,62.0,2.0,11.0,24.0,54.0,3.0,0.0,55.0,24.0,64.0,23.0,177,0.4972,0.3503,0.3672,0.3277,0.4032,0.1818
200768,2018,129,207,35,101,238,587,110.0,258.0,70.0,167.0,93.0,152.0,139.0,48.0,169.0,102.0,201.0,95.0,895,0.6559,0.2883,0.3564,0.3441,0.4264,0.4192
200768,2022,75,121,57,124,144,382,65.0,176.0,36.0,106.0,42.0,70.0,60.0,21.0,97.0,58.0,154.0,57.0,627,0.6093,0.2807,0.2807,0.2504,0.3693,0.3396
200768,2023,61,115,28,60,107,310,66.0,183.0,16.0,56.0,36.0,73.0,39.0,9.0,93.0,46.0,107.0,34.0,485,0.6392,0.3773,0.266,0.2722,0.3607,0.2857
200768,2024,46,76,18,49,96,241,53.0,136.0,16.0,35.0,23.0,44.0,42.0,15.0,57.0,32.0,107.0,52.0,366,0.6585,0.3716,0.2158,0.2705,0.3897,0.4571
200782,2018,48,86,9,29,114,306,109.0,288.0,0.0,3.0,8.0,23.0,8.0,3.0,71.0,38.0,228.0,84.0,421,0.7268,0.6841,0.0618,0.1876,0.3785,0.0
200782,2022,113,193,14,42,80,193,77.0,184.0,1.0,1.0,4.0,21.0,5.0,0.0,148.0,79.0,153.0,66.0,428,0.4509,0.4299,0.0514,0.3575,0.4185,1.0
200782,2023,35,71,6,14,55,140,53.0,135.0,0.0,0.0,0.0,3.0,3.0,1.0,57.0,25.0,119.0,48.0,225,0.6222,0.6,0.0133,0.2667,0.3926,
200782,2024,4,13,1,2,13,35,12.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,31.0,9.0,50,0.7,0.68,0.0,0.26,0.3529,
200794,2018,112,188,45,103,37,109,33.0,89.0,0.0,4.0,29.0,53.0,7.0,1.0,155.0,88.0,65.0,26.0,400,0.2725,0.2225,0.1425,0.405,0.3708,0.0
200794,2022,35,68,2,10,7,32,7.0,30.0,0.0,1.0,5.0,14.0,0.0,0.0,60.0,29.0,22.0,6.0,110,0.2909,0.2727,0.1364,0.5455,0.2333,0.0
200826,2018,136,217,52,136,115,313,58.0,117.0,34.0,123.0,104.0,174.0,22.0,7.0,173.0,104.0,144.0,57.0,666,0.47,0.1757,0.4459,0.2928,0.4957,0.2764
201142,2018,219,301,235,465,170,407,75.0,157.0,43.0,135.0,64.0,105.0,143.0,54.0,234.0,165.0,84.0,48.0,1173,0.347,0.1338,0.2046,0.3214,0.4777,0.3185
201142,2022,127,200,313,581,112,292,39.0,89.0,41.0,110.0,47.0,86.0,141.0,41.0,152.0,87.0,34.0,21.0,1073,0.2721,0.0829,0.1827,0.2731,0.4382,0.3727
201142,2023,125,181,263,448,92,228,38.0,82.0,29.0,76.0,50.0,81.0,97.0,36.0,140.0,91.0,27.0,12.0,857,0.266,0.0957,0.1832,0.2765,0.4634,0.3816
201142,2024,228,332,341,677,164,400,86.0,177.0,23.0,77.0,84.0,141.0,175.0,63.0,252.0,159.0,68.0,36.0,1409,0.2839,0.1256,0.1547,0.3031,0.4859,0.2987
201143,2018,183,296,75,184,91,213,85.0,204.0,1.0,1.0,45.0,85.0,3.0,1.0,261.0,154.0,179.0,78.0,693,0.3074,0.2944,0.1241,0.381,0.4167,1.0
201143,2022,143,237,32,65,88,259,83.0,253.0,0.0,0.0,16.0,39.0,2.0,1.0,205.0,116.0,202.0,72.0,561,0.4617,0.451,0.0695,0.369,0.3281,
201143,2023,74,123,9,31,145,325,142.0,317.0,2.0,4.0,10.0,15.0,1.0,0.0,103.0,58.0,248.0,110.0,479,0.6785,0.6618,0.0397,0.2171,0.4479,0.5
201143,2024,95,139,8,17,107,251,103.0,240.0,0.0,1.0,11.0,19.0,3.0,1.0,114.0,74.0,182.0,84.0,407,0.6167,0.5897,0.0491,0.2875,0.4292,0.0
201144,2018,31,54,9,29,24,77,9.0,25.0,6.0,26.0,26.0,45.0,10.0,1.0,41.0,22.0,31.0,11.0,160,0.4812,0.1562,0.4438,0.3188,0.36,0.2308
201144,2022,128,267,46,109,169,414,55.0,133.0,68.0,175.0,102.0,220.0,24.0,9.0,212.0,101.0,212.0,87.0,790,0.5241,0.1684,0.5,0.2987,0.4135,0.3886
201144,2023,86,165,39,92,130,344,63.0,143.0,33.0,97.0,56.0,115.0,28.0,11.0,136.0,66.0,182.0,70.0,601,0.5724,0.2379,0.3527,0.2729,0.4406,0.3402
201144,2024,84,151,31,88,179,405,84.0,195.0,30.0,74.0,51.0,96.0,19.0,3.0,112.0,58.0,277.0,132.0,644,0.6289,0.3028,0.264,0.2034,0.4308,0.4054
201145,2018,208,314,33,96,53,170,49.0,144.0,1.0,8.0,43.0,92.0,10.0,3.0,274.0,172.0,116.0,40.0,580,0.2931,0.2483,0.1724,0.4897,0.3403,0.125
201145,2022,203,297,21,64,53,168,47.0,153.0,0.0,1.0,21.0,35.0,9.0,3.0,255.0,167.0,102.0,35.0,529,0.3176,0.2892,0.0681,0.4991,0.3072,0.0
201145,2023,119,186,11,38,30,104,23.0,84.0,1.0,2.0,13.0,30.0,9.0,3.0,154.0,91.0,66.0,18.0,328,0.3171,0.2561,0.0976,0.497,0.2738,0.5
201145,2024,98,162,16,44,53,159,45.0,137.0,1.0,5.0,10.0,27.0,12.0,3.0,142.0,85.0,104.0,34.0,365,0.4356,0.3753,0.0877,0.4219,0.3285,0.2
201147,2018,106,168,5,13,31,110,30.0,93.0,0.0,2.0,20.0,40.0,8.0,1.0,114.0,62.0,56.0,15.0,291,0.378,0.3196,0.1443,0.4192,0.3226,0.0
201148,2018,56,87,3,8,0,0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,71.0,42.0,0.0,0.0,95,0.0,0.0,0.0632,0.7474,,
201149,2018,5,10,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,10.0,5.0,0.0,0.0,10,0.0,0.0,0.3,1.0,,
201152,2018,317,504,46,113,58,181,54.0,165.0,1.0,2.0,56.0,95.0,5.0,2.0,445.0,272.0,148.0,46.0,798,0.2268,0.2068,0.1216,0.5639,0.3273,0.5
201152,2022,118,209,6,16,17,48,15.0,40.0,0.0,2.0,23.0,42.0,3.0,1.0,194.0,108.0,41.0,16.0,273,0.1758,0.1465,0.1612,0.7216,0.375,0.0
201152,2023,98,152,4,12,6,34,6.0,32.0,0.0,0.0,18.0,34.0,1.0,0.0,136.0,87.0,24.0,5.0,198,0.1717,0.1616,0.1717,0.6919,0.1875,
201152,2024,60,95,4,6,1,7,1.0,7.0,0.0,0.0,3.0,5.0,0.0,0.0,85.0,51.0,3.0,0.0,108,0.0648,0.0648,0.0463,0.787,0.1429,
201156,2018,31,44,47,111,123,324,68.0,161.0,9.0,27.0,6.0,10.0,100.0,33.0,36.0,25.0,83.0,34.0,479,0.6764,0.3361,0.0772,0.2839,0.4224,0.3333
201158,2018,77,121,107,223,149,387,85.0,212.0,10.0,28.0,7.0,20.0,112.0,36.0,92.0,55.0,125.0,50.0,731,0.5294,0.29,0.0657,0.2791,0.4009,0.3571
201160,2018,19,29,21,46,2,29,2.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,16.0,23.0,1.0,104,0.2788,0.2788,0.0096,0.2308,0.069,
201162,2018,15,22,4,15,29,80,26.0,67.0,0.0,0.0,2.0,2.0,10.0,3.0,19.0,12.0,38.0,14.0,117,0.6838,0.5726,0.0171,0.2479,0.3881,
201163,2018,168,284,25,78,88,246,60.0,166.0,4.0,14.0,57.0,105.0,56.0,22.0,225.0,126.0,62.0,27.0,608,0.4046,0.273,0.1957,0.4622,0.3614,0.2857
201166,2018,8,19,9,16,11,30,8.0,13.0,2.0,12.0,7.0,17.0,3.0,1.0,18.0,7.0,13.0,6.0,65,0.4615,0.2,0.4462,0.3231,0.6154,0.1667
201167,2018,15,24,23,61,27,69,22.0,50.0,0.0,0.0,3.0,7.0,12.0,4.0,21.0,13.0,24.0,8.0,154,0.4481,0.3247,0.0455,0.2143,0.44,
201177,2018,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0.0,0.0,0.0,
201188,2018,178,319,147,349,108,317,106.0,302.0,0.0,1.0,23.0,44.0,6.0,1.0,278.0,151.0,271.0,98.0,985,0.3218,0.3066,0.0457,0.2883,0.351,0.0
201196,2018,29,59,4,22,8,26,7.0,22.0,0.0,2.0,19.0,39.0,1.0,0.0,46.0,22.0,20.0,6.0,107,0.243,0.2056,0.3832,0.4393,0.3182,0.0
201229,2018,53,87,6,12,159,359,145.0,317.0,0.0,1.0,5.0,5.0,36.0,12.0,64.0,33.0,187.0,87.0,458,0.7838,0.6921,0.0131,0.2183,0.4574,0.0
201281,2018,0,2,3,6,5,9,5.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,17,0.5294,0.4706,0.1176,0.1176,0.625,0.0
201563,2018,270,425,95,232,32,82,25.0,63.0,2.0,3.0,57.0,112.0,7.0,2.0,399.0,249.0,37.0,20.0,739,0.111,0.0853,0.1556,0.5494,0.3968,0.6667
201565,2018,63,98,11,42,7,30,4.0,23.0,3.0,6.0,36.0,59.0,2.0,1.0,76.0,45.0,14.0,3.0,170,0.1765,0.1353,0.3824,0.4588,0.1739,0.5
201565,2022,65,121,20,61,37,92,21.0,51.0,9.0,21.0,42.0,80.0,13.0,6.0,101.0,51.0,18.0,11.0,274,0.3358,0.1861,0.3686,0.4161,0.4118,0.4286
201565,2023,28,63,14,33,19,63,8.0,31.0,5.0,12.0,19.0,37.0,10.0,2.0,51.0,22.0,22.0,5.0,159,0.3962,0.195,0.3082,0.3836,0.2581,0.4167
201565,2024,40,88,21,36,15,41,9.0,29.0,1.0,3.0,26.0,58.0,1.0,0.0,75.0,34.0,14.0,7.0,165,0.2485,0.1758,0.3697,0.4606,0.3103,0.3333
201566,2018,404,636,233,598,95,316,30.0,84.0,45.0,156.0,278.0,444.0,43.0,10.0,515.0,308.0,90.0,34.0,1550,0.2039,0.0542,0.3871,0.36,0.3571,0.2885
201566,2022,355,667,114,300,79,265,46.0,155.0,24.0,75.0,240.0,472.0,10.0,4.0,590.0,297.0,189.0,60.0,1232,0.2151,0.1258,0.444,0.487,0.2968,0.32
201566,2023,270,516,71,185,89,286,60.0,183.0,23.0,61.0,181.0,369.0,13.0,2.0,443.0,222.0,202.0,67.0,987,0.2898,0.1854,0.4357,0.462,0.3279,0.377
201566,2024,224,421,32,84,42,153,31.0,118.0,4.0,19.0,118.0,254.0,0.0,0.0,340.0,167.0,109.0,30.0,658,0.2325,0.1793,0.4149,0.5167,0.2627,0.2105
201567,2018,158,243,39,109,137,327,119.0,274.0,0.0,2.0,16.0,32.0,30.0,6.0,206.0,130.0,197.0,96.0,679,0.4816,0.4035,0.0501,0.3476,0.4343,0.0
201567,2022,92,151,48,133,187,477,137.0,338.0,1.0,4.0,6.0,10.0,80.0,28.0,129.0,74.0,189.0,84.0,761,0.6268,0.4442,0.0184,0.2746,0.4053,0.25
201567,2023,49,87,17,41,99,296,84.0,239.0,1.0,2.0,6.0,13.0,26.0,4.0,77.0,40.0,137.0,55.0,424,0.6981,0.5637,0.0354,0.2429,0.3515,0.5
