entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
203939,player,2023-24,RegularSeason,824.28,1719,1712,6,1,1,0,0,3,4,1,0,0,955,630,83,3,7,120,94,217,26,20,104,163,1133,663,30.6,95,12,21,12,18,37,59,12,5,9,201,60,81,29,46,153,74,20,13,23,3,0,0,2,2,2,1,0,1,1,96,49,47,216,4,116,27,85,220,25,348215,66.0,34.85,31.08
1631241,player,2023-24,RegularSeason,384.95,800,804,68,16,32,10,12,43,20,3,7,6,624,599,38,2,7,80,47,99,10,4,35,45,810,300,53.2,11,4,6,6,6,14,2,0,0,3,30,11,18,8,8,30,7,2,0,4,1,0,0,0,0,0,0,0,1,0,15,9,6,41,2,51,7,43,77,3,163216,30.93,16.29,14.61
204456,player,2023-24,RegularSeason,1290.99,2697,2709,972,237,430,27,32,509,462,109,54,16,2879,3056,390,39,46,664,476,1011,72,8,61,78,3720,1335,293.4,45,13,18,1,2,27,23,6,2,1,54,16,18,0,0,32,30,7,3,0,0,0,0,0,0,0,0,0,0,0,36,9,26,103,6,155,20,133,235,16,574503,108.83,58.26,50.52
1630553,player,2023-24,RegularSeason,51.05,100,104,18,0,4,8,8,8,4,0,4,4,55,71,3,0,0,7,3,8,3,1,2,3,88,35,6.1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,2,2,0,2,7,1,20637,3.91,2.02,1.89
1626172,player,2023-24,RegularSeason,1194.46,2404,2419,48,14,25,6,8,37,17,4,2,4,1791,1294,133,14,22,236,169,363,28,29,121,206,2128,1330,56.0,111,29,47,12,16,70,50,13,4,7,279,90,141,26,40,210,97,14,17,16,15,0,3,0,0,0,10,3,2,0,143,77,65,299,8,275,93,173,435,32,461728,87.47,46.09,41.43
1641763,player,2023-24,RegularSeason,317.09,649,643,38,11,19,4,4,27,13,1,3,2,216,185,13,1,1,10,15,33,7,7,26,34,316,193,8.0,3,0,1,0,0,0,1,0,0,0,20,6,11,5,8,17,4,1,0,4,0,0,0,0,0,0,0,0,0,0,12,7,5,33,2,24,6,18,45,7,134987,25.56,13.37,12.19
1629646,player,2023-24,RegularSeason,205.29,440,440,0,0,0,0,0,0,0,0,0,0,306,151,21,0,2,34,23,52,8,17,26,40,369,165,9.0,25,8,10,0,0,17,10,1,3,0,47,21,26,3,4,47,14,4,4,1,0,0,0,0,0,0,0,0,0,0,23,14,9,62,0,53,16,35,73,6,86992,16.48,8.91,7.55
1641774,player,2023-24,RegularSeason,153.39,327,331,10,5,7,1,2,11,1,0,1,1,141,147,13,0,0,15,13,31,5,7,20,32,230,141,6.1,19,8,10,5,6,23,4,1,2,3,17,7,10,5,6,21,2,0,1,3,2,0,1,0,0,0,0,0,1,0,6,4,2,14,1,30,7,23,49,4,61802,11.7,6.05,5.66
1626164,player,2023-24,RegularSeason,2446.67,5030,5004,888,237,427,133,151,625,318,87,42,76,3147,4263,472,22,84,808,570,1202,61,28,155,220,4993,2375,419.9,60,19,28,7,8,45,23,3,3,4,71,16,26,15,16,47,30,7,4,8,41,11,20,3,4,28,15,1,2,2,56,18,36,132,5,247,39,206,429,33,906142,171.64,94.8500000000001,76.79
202722,player,2023-24,RegularSeason,646.0,1301,1286,27,4,6,2,2,11,16,1,1,1,426,453,31,2,4,48,36,74,24,12,37,55,685,472,15.5,8,1,2,2,2,4,5,1,0,1,22,6,13,2,2,16,6,2,1,1,0,0,0,0,0,0,0,0,0,0,8,5,3,26,0,50,12,38,84,9,268096,50.75,28.39,22.39
1641720,player,2023-24,RegularSeason,108.97,233,231,31,3,11,7,12,13,13,2,1,6,152,186,8,1,2,25,12,23,3,2,9,12,228,102,17.5,4,0,1,0,0,0,3,1,0,0,6,2,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,0,11,1,10,23,2,43532,8.21,4.55,3.69
203507,player,2023-24,RegularSeason,2567.25,5353,5337,1099,264,433,182,261,739,412,102,76,132,3654,3984,476,27,63,941,567,1306,87,79,184,333,5818,2913,342.3,306,71,105,26,30,175,163,39,18,13,466,232,308,48,82,522,75,18,20,38,204,50,81,7,14,111,88,28,11,7,196,128,66,397,15,645,153,482,922,57,968530,183.45,99.13,84.3
1631170,player,2023-24,RegularSeason,2113.22,4223,4235,499,107,211,58,66,279,210,39,35,33,2181,2278,195,19,22,369,236,510,76,20,134,203,3142,1615,168.1,55,16,25,6,8,40,22,5,1,4,218,84,128,23,30,194,61,10,7,15,78,14,26,5,6,36,39,11,4,3,81,43,38,208,7,201,38,161,362,47,894313,169.36,92.86,76.5
1631104,player,2023-24,RegularSeason,855.62,1791,1802,269,32,72,28,42,97,161,42,15,21,1334,1394,157,13,14,301,186,425,28,7,48,61,1670,654,119.3,22,6,7,2,4,14,12,0,1,2,48,18,24,3,6,39,18,3,1,3,0,0,0,0,0,0,0,0,0,0,17,4,13,45,1,69,8,61,115,8,379683,71.92,38.4,33.5
203903,player,2023-24,RegularSeason,1654.38,3422,3421,788,162,345,75,84,412,317,92,64,43,1614,2286,274,29,23,494,324,720,32,6,77,112,2735,1835,170.2,59,16,33,7,8,39,19,5,1,4,82,26,52,10,10,62,20,7,2,5,3,1,3,0,0,2,0,0,0,0,48,21,25,113,7,136,12,124,237,27,667953,126.53,71.93,54.54
1626224,player,2023-24,RegularSeason,1268.74,2681,2696,160,39,74,11,18,91,62,17,10,9,1149,1107,119,8,14,200,139,294,36,11,87,124,1641,953,56.4,31,10,12,0,0,22,16,6,2,0,42,14,17,3,5,31,20,4,2,3,3,0,1,0,0,0,2,0,0,0,25,11,14,76,5,154,27,124,223,19,531042,100.58,54.43,46.2
1630165,player,2023-24,RegularSeason,1007.72,2098,2105,288,55,117,6,12,118,145,36,12,6,1611,1531,205,21,19,341,243,520,36,20,88,119,2039,780,149.4,9,2,3,0,0,4,5,3,1,0,19,6,8,0,0,12,11,2,0,0,2,0,0,1,2,1,1,0,0,1,11,6,5,30,4,108,18,90,175,15,400980,75.93,41.61,34.34
1630600,player,2023-24,RegularSeason,71.92,140,142,8,1,4,0,0,2,2,0,1,0,104,74,6,0,0,12,6,17,2,0,7,7,132,71,4.6,5,2,2,0,0,4,3,1,0,0,8,3,6,0,0,6,2,0,0,0,2,1,1,0,0,2,1,0,0,0,3,2,1,6,0,7,2,5,9,0,28763,5.46,2.96,2.51
1629626,player,2023-24,RegularSeason,458.83,936,936,26,10,17,2,2,23,7,1,1,1,352,282,17,1,5,30,22,39,10,25,28,62,529,297,14.9,20,10,14,0,0,21,6,1,0,0,44,22,32,2,2,47,8,1,3,1,4,1,3,0,0,2,0,0,1,0,30,14,16,52,2,100,18,79,135,8,184769,34.98,18.54,16.46
1630533,player,2023-24,RegularSeason,1037.68,2108,2128,122,26,70,15,16,68,35,10,6,8,894,959,75,9,13,131,98,198,36,9,63,98,1397,838,66.9,23,5,8,3,6,13,11,4,0,3,68,35,49,9,10,84,12,3,2,5,1,0,0,0,0,0,0,0,1,0,35,15,20,97,5,144,33,105,195,16,412648,78.15,40.51,37.62
203496,player,2023-24,RegularSeason,488.44,977,991,37,8,16,9,10,27,13,1,3,5,498,298,24,2,8,34,35,63,39,18,40,54,630,287,18.2,11,1,1,0,0,2,10,1,0,0,40,13,20,5,6,31,15,6,2,3,0,0,0,0,0,0,0,0,0,0,31,21,10,72,2,66,23,41,117,9,191341,36.21,19.46,16.75
1628449,player,2023-24,RegularSeason,673.61,1350,1372,25,7,11,3,4,17,10,2,2,2,478,405,21,2,9,36,32,52,14,21,52,85,783,448,22.0,22,6,7,6,6,18,11,1,1,3,133,52,79,35,44,140,13,3,8,23,5,0,1,3,4,3,2,1,0,2,61,43,18,155,10,138,31,102,198,14,273954,51.89,26.91,24.98
1630647,player,2023-24,RegularSeason,393.34,856,875,40,11,26,6,10,29,8,1,1,5,415,355,35,2,2,52,39,81,27,5,32,49,625,353,19.9,21,8,13,1,2,19,6,1,1,1,76,33,55,8,14,75,9,1,3,7,4,1,3,0,0,2,1,0,0,0,33,27,6,91,4,50,13,35,87,8,162413,30.76,15.31,15.44
202687,player,2023-24,RegularSeason,791.43,1611,1618,12,4,7,0,0,8,3,1,2,0,882,549,53,2,5,77,61,139,11,37,101,176,1085,579,29.1,69,12,21,2,4,26,42,9,2,2,175,60,99,16,26,137,48,11,7,10,5,3,3,0,0,6,2,0,0,0,62,45,17,152,6,147,35,105,266,28,312687,59.25,31.95,27.33
203493,player,2023-24,RegularSeason,417.46,864,872,5,2,3,0,0,4,2,1,0,0,366,260,15,1,3,28,19,34,12,5,36,42,471,241,12.8,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,15,0,65,5,59,86,2,161917,30.69,15.96,14.69
203484,player,2023-24,RegularSeason,2341.09,4708,4700,142,28,72,25,26,83,42,7,12,13,1948,1911,177,16,23,272,216,446,95,40,77,99,2687,1817,89.4,51,8,17,0,0,17,32,7,1,0,64,19,34,6,6,45,19,8,6,3,1,0,0,0,0,0,1,0,0,0,30,10,20,65,7,147,23,124,238,16,855600,162.04,84.42,77.59
1641854,player,2023-24,RegularSeason,649.39,1278,1280,234,63,118,22,28,153,81,27,10,15,1160,1240,118,13,30,226,160,312,21,15,43,59,1520,586,130.0,11,5,6,0,0,10,5,0,0,0,24,3,5,0,0,6,18,2,1,0,1,0,1,0,0,0,0,0,0,0,21,3,18,50,2,88,13,75,152,11,257125,48.68,26.77,21.91
1631097,player,2023-24,RegularSeason,1538.36,3256,3259,412,102,224,80,92,296,101,22,30,46,1549,1782,119,8,29,183,152,294,35,14,127,173,2473,1600,98.6,63,20,40,4,6,45,15,5,2,3,109,42,67,15,18,100,25,4,3,8,7,2,4,1,2,6,2,1,0,1,60,29,30,168,12,174,32,142,279,21,633331,119.96,63.12,56.82
