entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence
2738,2019,,,,,,,,,,,,,,,,,,,117.0,92.0,41.0,144.0,48.0,302.0,0.5794701986754967,0.3874172185430463,0.4768211920529801,0.0794701986754966,,,,,shot_zones,high
2738,2020,,,,,,,,,,,,,,,,,,,27.0,18.0,13.0,46.0,14.0,86.0,0.5116279069767442,0.313953488372093,0.5348837209302325,0.0116279069767442,,,,,shot_zones,high
2738,2021,,,,,,,,,,,,,,,,,,,50.0,31.0,16.0,183.0,60.0,249.0,0.5020080321285141,0.2008032128514056,0.7349397590361446,0.002008032128514,,,,,shot_zones,high
2738,2022,23.0,0.4347826086956521,0.0085397096498719,124.0,0.1058923996584116,27.0,62.0,11.0,1112.0,0.0899280575539568,21.0,76.0,13.0,23.0,0.23841059602649,29.0,53.0,0.5471698113207547,,,,,,,,,,,1171.0,582.51,26.0,21.0,tracking,high
2738,2023,6.0,0.5,0.0146341463414634,22.0,0.1073170731707317,5.0,9.0,0.0,171.0,0.0818713450292397,3.0,10.0,1.0,2.0,0.1071428571428571,11.0,14.0,0.7857142857142857,,,,,,,,,,,205.0,94.63,3.0,2.0,tracking,high
2747,2019,,,,,,,,,,,,,,,,,,,6.0,4.0,34.0,39.0,12.0,79.0,0.4177215189873418,0.0759493670886076,0.4936708860759494,-0.0822784810126582,,,,,shot_zones,high
2747,2020,,,,,,,,,,,,,,,,,,,6.0,3.0,5.0,11.0,1.0,22.0,0.3409090909090909,0.2727272727272727,0.5,-0.1590909090909091,,,,,shot_zones,low
2760,2021,,,,,,,,,,,,,,,,,,,9.0,2.0,6.0,1.0,0.0,16.0,0.25,0.5625,0.0625,-0.25,,,,,shot_zones,low
2772,2019,,,,,,,,,,,,,,,,,,,255.0,131.0,44.0,426.0,143.0,725.0,0.5,0.3517241379310344,0.5875862068965517,0.0,,,,,shot_zones,high
2772,2020,,,,,,,,,,,,,,,,,,,97.0,58.0,13.0,203.0,75.0,313.0,0.5511182108626198,0.3099041533546325,0.6485623003194888,0.0511182108626198,,,,,shot_zones,high
2772,2021,,,,,,,,,,,,,,,,,,,89.0,47.0,9.0,143.0,50.0,241.0,0.5145228215767634,0.3692946058091286,0.5933609958506224,0.0145228215767634,,,,,shot_zones,high
2772,2022,28.0,0.1428571428571428,0.0042872454448017,33.0,0.0353697749196141,6.0,21.0,0.0,591.0,0.0456852791878172,10.0,72.0,5.0,10.0,0.1239669421487603,28.0,38.0,0.7368421052631579,,,,,,,,,,,933.0,462.31,13.0,6.0,tracking,high
101106,2019,,,,,,,,,,,,,,,,,,,28.0,15.0,2.0,0.0,0.0,30.0,0.5,0.9333333333333332,0.0,0.0,,,,,shot_zones,low
101107,2019,,,,,,,,,,,,,,,,,,,206.0,107.0,64.0,382.0,140.0,652.0,0.5291411042944786,0.3159509202453988,0.5858895705521472,0.0291411042944785,,,,,shot_zones,high
101107,2020,,,,,,,,,,,,,,,,,,,73.0,52.0,33.0,149.0,52.0,255.0,0.5490196078431373,0.2862745098039215,0.5843137254901961,0.0490196078431373,,,,,shot_zones,high
101108,2019,,,,,,,,,,,,,,,,,,,138.0,67.0,224.0,354.0,127.0,716.0,0.5090782122905028,0.1927374301675977,0.494413407821229,0.0090782122905027,,,,,shot_zones,high
