name_slug,name,season_year,fga,total_zone_fga,u10_fga,o10_fg2a,fg3a,p_exp_efgpct,act_efgpct,efg_above_position,efg_above_league,u10_fgpct_p_diff,o10_fg2pct_p_diff,fg3pct_p_diff,ptv_raw
demarcus-cousins,DeMarcus Cousins,2014,1064,1064,697,360,7,0.5414,0.5414,0.0,0.0115,0.0,0.0,0.0,0.0
demarre-carroll,DeMarre Carroll,2014,606,606,249,91,266,0.5767,0.5767,0.0,0.0002,0.0,0.0,0.0,0.0
dennis-schr-der,Dennis Schr̦der,2014,166,166,79,45,42,0.4398,0.4398,0.0,-0.0672,0.0,0.0,0.0,0.0
dennis-schroder,Dennis Schroder,2014,166,166,79,45,42,0.4398,0.4398,0.0,-0.0672,0.0,0.0,0.0,0.0
derek-fisher,Derek Fisher,2014,353,353,38,89,226,0.5241,0.5241,0.0,0.0234,0.0,0.0,0.0,0.0
deron-williams,Deron Williams,2014,680,680,192,221,267,0.5441,0.5441,0.0,0.0411,0.0,0.0,0.0,0.0
derrick-favors,Derrick Favors,2014,679,679,490,189,0,0.5744,0.5744,0.0,0.0109,0.0,0.0,,0.0
derrick-rose,Derrick Rose,2014,143,143,63,34,46,0.4545,0.4545,0.0,-0.0439,0.0,0.0,0.0,0.0
derrick-williams,Derrick Williams,2014,446,446,237,111,98,0.4865,0.4865,0.0,-0.0717,0.0,0.0,0.0,0.0
devin-harris,Devin Harris,2014,237,237,95,42,100,0.4662,0.4662,0.0,-0.0577,0.0,0.0,0.0,0.0
dewayne-dedmon,Dewayne Dedmon,2014,79,79,60,19,0,0.481,0.481,0.0,-0.1245,0.0,0.0,,0.0
dexter-pittman,Dexter Pittman,2014,1,1,1,0,0,0.0,0.0,0.0,-0.4494,0.0,,,0.0
diante-garrett,Diante Garrett,2014,251,251,81,74,96,0.4741,0.4741,0.0,-0.0338,0.0,0.0,0.0,0.0
dion-waiters,Dion Waiters,2014,927,927,281,396,250,0.5135,0.5135,0.0,0.0176,0.0,0.0,0.0,0.0
dionte-christmas,Dionte Christmas,2014,58,58,11,16,31,0.4569,0.4569,0.0,-0.0778,0.0,0.0,0.0,0.0
dirk-nowitzki,Dirk Nowitzki,2014,1253,1253,133,792,328,0.5575,0.5575,0.0,0.0895,0.0,0.0,0.0,0.0
dj-stephens,DJ Stephens,2014,6,6,6,0,0,0.5,0.5,0.0,-0.1575,0.0,,,0.0
dj-white,DJ White,2014,1,1,0,1,0,0.0,0.0,0.0,-0.4458,,0.0,,0.0
donald-sloan,Donald Sloan,2014,107,107,45,20,42,0.4579,0.4579,0.0,-0.0497,0.0,0.0,0.0,0.0
donatas-motiejunas,Donatas Motiejunas,2014,275,275,171,20,84,0.5145,0.5145,0.0,-0.0857,0.0,0.0,0.0,0.0
dorell-wright,Dorell Wright,2014,293,293,47,46,200,0.4966,0.4966,0.0,-0.0409,0.0,0.0,0.0,0.0
doron-lamb,Doron Lamb,2014,154,154,27,37,90,0.526,0.526,0.0,0.0019,0.0,0.0,0.0,0.0
