"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Sion James","CHA",164,332,49,6,16,0.375,11,29,0.3793103448275862,0.3793103448275862,4,8,4,33,0,0.6666666666666666,0.6666666666666666,1,0.6444444444444445,0.5975855555555556,0.5,0.532608695652174,0,3,0.1875,0,0,13.246753246753247
"Dennis Schröder","SAC",161,326,47,13,36,0.3611111111111111,5,22,0.22727272727272727,0.22727272727272727,6,8,18,15,0,0.3076923076923077,0.3076923076923077,1,0.3793103448275862,0.5280189655172415,0.35344827586206895,0.38524590163934425,0,6,0.16666666666666666,0,0,19.946091644204852
"Johnny Furphy","IND",160,330,51,12,21,0.5714285714285714,8,15,0.5333333333333333,0.5333333333333333,3,12,12,21,3,0.5,0.6,0.875,0.4166666666666667,0.5820958333333333,0.6666666666666666,0.6538461538461539,4,3,0.14285714285714285,1,0.06666666666666667,13.387978142076502
"Anthony Davis","DAL",158,322,90,38,74,0.5135135135135135,2,8,0.25,0.25,8,52,24,6,0,0.6842105263157895,0.7428571428571429,1,0.0975609756097561,0.5186262195121951,0.5,0.5294117647058824,6,1,0.013513513513513514,0,0,28.011204481792717
"Jalen Pickett","DEN",156,304,55,11,21,0.5238095238095238,11,28,0.39285714285714285,0.39285714285714285,0,14,8,21,12,0.6363636363636364,0.7,0.6363636363636364,0.5714285714285714,0.5396,0.5612244897959183,0.5612244897959183,2,2,0.09523809523809523,0,0,16.012084592145015
"Will Riley","WAS",156,326,65,19,30,0.6333333333333333,7,19,0.3684210526315789,0.3684210526315789,6,22,16,18,3,0.5789473684210527,0.5789473684210527,0.8571428571428571,0.3877551020408163,0.5311326530612245,0.6020408163265306,0.625,0,2,0.06666666666666667,0,0,15.426997245179065
"Ben Sheppard","IND",156,329,53,8,11,0.7272727272727273,10,22,0.45454545454545453,0.45454545454545453,7,14,2,30,0,0.875,0.875,1,0.6666666666666666,0.5784712121212121,0.696969696969697,0.7162162162162162,0,2,0.18181818181818182,0,0,11.634349030470915
"Quentin Grimes","PHI",154,322,64,16,29,0.5517241379310345,9,30,0.3,0.3,5,18,14,21,6,0.5625,0.5625,0.7777777777777778,0.5084745762711864,0.5614542372881356,0.5,0.5161290322580645,0,2,0.06896551724137931,1,0.03333333333333333,19.88795518207283
"Aaron Wiggins","OKC",154,318,70,13,30,0.43333333333333335,11,30,0.36666666666666664,0.36666666666666664,11,14,12,30,3,0.5384615384615384,0.6363636363636364,0.9090909090909091,0.5,0.5714541666666666,0.49166666666666664,0.5303030303030303,4,6,0.2,0,0,21.34831460674157
"Isaiah Collier","UTA",153,320,58,19,39,0.48717948717948717,1,11,0.09090909090909091,0.09090909090909091,17,8,30,3,0,0.21052631578947367,0.2222222222222222,1,0.22,0.5167080000000002,0.41,0.4915254237288136,2,4,0.10256410256410256,0,0,20.72829131652661
"Will Richard","GSW",153,316,58,11,13,0.8461538461538461,11,30,0.36666666666666664,0.36666666666666664,3,18,4,30,3,0.8181818181818182,0.9,0.9090909090909091,0.6976744186046512,0.6109116279069767,0.6395348837209303,0.6444444444444445,2,1,0.07692307692307693,0,0,13.390313390313391
"Cam Spencer","MEM",153,307,50,6,14,0.42857142857142855,11,26,0.4230769230769231,0.4230769230769231,5,4,8,27,6,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.65,0.5449712499999999,0.5625,0.5833333333333334,0,1,0.07142857142857142,0,0,13.333333333333332
