season_year,name,name_slug,rpv,miv,dpc,data_source,possessions,touches,paint_touches,paint_touches_per_poss,touches_per_poss,points_per_paint_touch,drives,drives_per_poss,points_per_drive,fga_per_drive,post_touches,post_touches_per_poss,points_per_post_touch,elbow_touches,elbow_touches_per_poss,points_per_elbow_touch,steals,blocks,dreb,def_rim_fgm,def_rim_fga,def_rim_fg%,def_rim_fga_per_poss
2017,Jarell Eddie,jarell-eddie,0.768,1.198,,nba_tracking,139.0,60.0,2.0,0.0144,0.4317,2.0,3.0,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,6.0,0.5,0.0441
2017,Jarell Martin,jarell-martin,1.669,2.31,,nba_tracking,1091.0,947.0,74.0,0.0678,0.868,0.6486,48.0,0.044,0.5417,0.5833,12.0,0.011,0.5,25.0,0.0229,0.4,17.0,9.0,120.0,34.0,52.0,0.6538,0.0467
2017,Jarnell Stokes,jarnell-stokes,-2.903,-2.976,,nba_tracking,14.0,7.0,5.0,0.3571,0.5,0.8,0.0,0.0,0.0,0.0,1.0,0.0714,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017,Jarrett Jack,jarrett-jack,-2.903,-2.444,,nba_tracking,66.0,61.0,0.0,0.0,0.9242,0.0,6.0,0.0909,0.3333,0.0,0.0,0.0,0.0,1.0,0.0152,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0152
2017,Jarrod Uthoff,jarrod-uthoff,-1.077,-0.435,,nba_tracking,222.0,169.0,19.0,0.0856,0.7613,0.5263,7.0,0.0315,0.2857,0.7143,8.0,0.036,0.0,6.0,0.027,0.5,2.0,4.0,14.0,4.0,5.0,0.8,0.0223
2017,Jason Smith,jason-smith,0.968,0.677,,nba_tracking,2119.0,1877.0,89.0,0.042,0.8858,0.7865,31.0,0.0146,0.9355,0.5161,12.0,0.0057,0.0,112.0,0.0529,0.3125,21.0,54.0,194.0,108.0,183.0,0.5902,0.0862
2017,Jason Terry,jason-terry,-2.631,-0.835,,nba_tracking,2639.0,1614.0,26.0,0.0099,0.6116,0.3846,118.0,0.0447,0.3729,0.2797,3.0,0.0011,0.6667,32.0,0.0121,0.1875,46.0,20.0,91.0,42.0,58.0,0.7241,0.022
2017,Jaylen Brown,jaylen-brown,0.575,1.355,,nba_tracking,2661.0,1709.0,126.0,0.0474,0.6422,0.8333,176.0,0.0661,0.5398,0.4716,50.0,0.0188,0.62,30.0,0.0113,0.5,35.0,18.0,175.0,53.0,86.0,0.6163,0.0319
2017,Jeff Green,jeff-green,0.327,-2.722,,nba_tracking,3030.0,2250.0,81.0,0.0267,0.7426,0.8642,188.0,0.062,0.7021,0.5532,107.0,0.0353,0.4579,44.0,0.0145,0.6591,37.0,13.0,175.0,106.0,154.0,0.6883,0.0502
2017,Jeff Teague,jeff-teague,-2.062,-2.54,,nba_tracking,5296.0,6206.0,50.0,0.0094,1.1718,0.58,1103.0,0.2083,0.4461,0.3853,14.0,0.0026,0.2857,37.0,0.007,0.3784,100.0,32.0,294.0,105.0,147.0,0.7143,0.0277
2017,Jeff Withey,jeff-withey,2.401,2.456,,nba_tracking,849.0,652.0,133.0,0.1567,0.768,0.8421,5.0,0.0059,0.4,0.6,9.0,0.0106,0.0,54.0,0.0636,0.5556,16.0,32.0,69.0,65.0,117.0,0.5556,0.1376
2017,Jerami Grant,jerami-grant,0.726,-0.569,,nba_tracking,3091.0,1883.0,76.0,0.0246,0.6092,0.8421,177.0,0.0573,0.6215,0.435,17.0,0.0055,0.2941,54.0,0.0175,0.463,33.0,79.0,167.0,89.0,166.0,0.5361,0.0533
2017,Jeremy Lamb,jeremy-lamb,-0.115,2.056,,nba_tracking,2217.0,1651.0,59.0,0.0266,0.7447,0.9661,269.0,0.1213,0.7584,0.5651,5.0,0.0023,1.6,36.0,0.0162,0.9444,27.0,23.0,234.0,68.0,95.0,0.7158,0.0427
2017,Jeremy Lin,jeremy-lin,-2.129,2.044,,nba_tracking,1863.0,2152.0,33.0,0.0177,1.1551,0.5152,420.0,0.2254,0.4095,0.3333,23.0,0.0123,0.4348,28.0,0.015,0.4286,41.0,13.0,122.0,51.0,86.0,0.593,0.0463
2017,Jerian Grant,jerian-grant,-2.014,-1.161,,nba_tracking,2022.0,1752.0,12.0,0.0059,0.8665,0.3333,220.0,0.1088,0.45,0.3455,22.0,0.0109,0.5,10.0,0.0049,0.6,47.0,8.0,94.0,49.0,78.0,0.6282,0.0386
2017,Jerryd Bayless,jerryd-bayless,-0.315,2.335,,nba_tracking,140.0,211.0,2.0,0.0143,1.5071,0.0,31.0,0.2214,0.4516,0.4194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,0.75,0.0286
2017,Jimmy Butler,jimmy-butler,-0.393,0.284,,nba_tracking,5588.0,5345.0,280.0,0.0501,0.9565,0.7321,1073.0,0.192,0.507,0.3085,266.0,0.0476,0.4135,166.0,0.0297,0.4819,143.0,32.0,341.0,131.0,193.0,0.6788,0.0346
2017,Jimmy Butler III,jimmy-butler-iii,-0.393,0.284,,nba_tracking,5588.0,5345.0,280.0,0.0501,0.9565,0.7321,1073.0,0.192,0.507,0.3085,266.0,0.0476,0.4135,166.0,0.0297,0.4819,143.0,32.0,341.0,131.0,193.0,0.6788,0.0346
2017,Joakim Noah,joakim-noah,1.772,1.391,,nba_tracking,2011.0,2194.0,281.0,0.1397,1.091,0.5516,39.0,0.0194,0.4359,0.5641,34.0,0.0169,0.2059,149.0,0.0741,0.2282,30.0,37.0,241.0,110.0,178.0,0.618,0.0881
2017,Jodie Meeks,jodie-meeks,-0.865,1.028,,nba_tracking,1477.0,873.0,13.0,0.0088,0.5911,1.3077,97.0,0.0657,0.5052,0.3402,0.0,0.0,0.0,18.0,0.0122,0.5,34.0,4.0,72.0,29.0,44.0,0.6591,0.0294
2017,Joe Harris,joe-harris,-1.343,2.782,,nba_tracking,2374.0,1504.0,52.0,0.0219,0.6335,0.8077,154.0,0.0649,0.3247,0.2987,1.0,0.0004,0.0,38.0,0.016,0.6579,30.0,8.0,125.0,73.0,107.0,0.6822,0.0449
2017,Joe Ingles,joe-ingles,-1.476,-0.702,,nba_tracking,3762.0,2996.0,37.0,0.0098,0.7964,0.4324,344.0,0.0914,0.2849,0.2529,14.0,0.0037,0.0714,35.0,0.0093,0.2571,96.0,8.0,238.0,62.0,91.0,0.6813,0.0241
2017,Joe Johnson,joe-johnson,-0.78,-0.218,,nba_tracking,3485.0,2784.0,53.0,0.0152,0.7989,0.6981,274.0,0.0786,0.4927,0.4781,131.0,0.0376,0.2901,47.0,0.0135,0.4468,36.0,18.0,210.0,71.0,104.0,0.6827,0.0298
