Player,Team,Opponent,Date,Closest Defender Distance,Shot Clock,Touch Time,Dribbles,FGA,eFG%,o10 eFG%,u10ft FG2M,u10ft FG2A,u10ft FG2%,u10ft FG2 Freq,o10ft FG2M,o10ft FG2A,o10ft FG2%,o10ft FG2 Freq,FG3M,FG3A,FG3%,FG3 Freq
Aaron Nesmith,IND,CHI,3/13/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1.125,1.125,0,0,,0,0,0,,0,3,4,0.75,0.3333
Aaron Nesmith,IND,CHI,12/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.3333
Aaron Nesmith,IND,CLE,10/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.1875
Aaron Nesmith,IND,CHA,12/20/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1.5,1.5,0,0,,0,0,0,,0,3,3,1,0.5
Aaron Wiggins,OKC,SAC,12/14/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,0.6667,,2,3,0.6667,0.75,0,0,,0,0,0,,0
Adama Sanogo,CHI,WAS,4/12/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.2222,0,0,,0,0,0,,0
AJ Griffin,ATL,IND,4/14/2024,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,5,0.4,0.5,1,3,0.3333,0.2143,1,2,0.5,0.1429,0,0,,0
Al Horford,BOS,CHI,3/23/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,7,1.0714,1.0714,0,0,,0,0,0,,0,5,7,0.7143,0.4375
Al Horford,BOS,PHX,3/14/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,7,0.8571,0.8571,0,0,,0,0,0,,0,4,7,0.5714,0.5
Al Horford,BOS,NYK,12/8/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.6,0.6,0,0,,0,0,0,,0,2,5,0.4,0.625
Al Horford,BOS,CHA,4/1/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.9,0.9,0,0,,0,0,0,,0,3,5,0.6,0.4545
Al Horford,BOS,GSW,12/19/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.3,0.3,0,0,,0,0,0,,0,1,5,0.2,0.3571
Al Horford,BOS,MEM,2/4/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.5,1,1,1,0.1111,0,0,,0,1,3,0.3333,0.3333
Al Horford,BOS,DET,12/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.75
Al Horford,BOS,GSW,12/19/2023,6+ Feet - Wide Open,22-18 Very Early,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.2143
Al Horford,BOS,ORL,12/17/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.4286
Alec Burks,DET,WAS,1/15/2024,4-6 Feet - Open,18-15 Early,Touch < 2 Seconds,0 Dribbles,5,1.2,1.2,0,0,,0,0,0,,0,4,5,0.8,0.2941
Alec Burks,DET,CLE,11/17/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.2857
Alec Burks,NYK,ATL,3/5/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.2857
Alec Burks,DET,UTA,1/3/2024,6+ Feet - Wide Open,18-15 Early,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.1765
Alec Burks,DET,BOS,12/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.2308
Alec Burks,DET,BOS,12/28/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0,0,0,0,,0,0,0,,0,0,3,0,0.2308
Alec Burks,DET,CHI,10/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1.5,1.5,0,0,,0,0,0,,0,3,3,1,0.25
Alec Burks,DET,CHI,10/28/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.25
Alec Burks,DET,CHA,10/27/2023,6+ Feet - Wide Open,18-15 Early,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.3
Alex Caruso,CHI,PHX,1/22/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,6,0.75,0.75,0,0,,0,0,0,,0,3,6,0.5,0.5
Alex Caruso,CHI,IND,12/28/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.3636
Alex Caruso,CHI,ORL,11/17/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1.125,1.125,0,0,,0,0,0,,0,3,4,0.75,0.6667
Alex Caruso,CHI,HOU,1/10/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.4
Alex Caruso,CHI,DAL,3/11/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.6667
Alperen Sengun,HOU,LAL,12/2/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,6,0.6667,0.6667,0,0,,0,1,3,0.3333,0.12,2,3,0.6667,0.12
Alperen Sengun,HOU,MIA,1/8/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,,4,4,1,0.2667,0,0,,0,0,0,,0
Alperen Sengun,HOU,PHX,3/2/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.5,0.3333,1,1,1,0.0476,1,3,0.3333,0.1429,0,0,,0
Alperen Sengun,HOU,SAC,3/10/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,1 Dribble,4,1,1,3,3,1,0.2143,1,1,1,0.0714,0,0,,0
Alperen Sengun,HOU,UTA,1/20/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.25,,1,4,0.25,0.1538,0,0,,0,0,0,,0
Alperen Sengun,HOU,GSW,10/29/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.3333,,1,3,0.3333,0.2,0,0,,0,0,0,,0
Alperen Sengun,HOU,NOP,11/10/2023,2-4 Feet - Tight,7-4 Late,Touch 2-6 Seconds,3-6 Dribbles,3,0.6667,,2,3,0.6667,0.2,0,0,,0,0,0,,0
Alperen Sengun,HOU,NOP,11/10/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,1,1,1,0.0667,2,2,1,0.1333,0,0,,0
Alperen Sengun,HOU,ATL,12/20/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,1 Dribble,3,0.6667,,2,3,0.6667,0.25,0,0,,0,0,0,,0
Alperen Sengun,HOU,MIL,12/17/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,1,,3,3,1,0.2,0,0,,0,0,0,,0
Alperen Sengun,HOU,MEM,12/15/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.6667,,2,3,0.6667,0.25,0,0,,0,0,0,,0
Amen Thompson,HOU,POR,4/12/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,,4,4,1,0.3333,0,0,,0,0,0,,0
Amen Thompson,HOU,ORL,10/25/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.4
Amen Thompson,HOU,OKC,3/27/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,,3,4,0.75,0.2222,0,0,,0,0,0,,0
Amir Coffey,LAC,GSW,12/14/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.3,0.3,0,0,,0,0,0,,0,1,5,0.2,0.3333
Amir Coffey,LAC,DAL,12/20/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,0,0,,0,2,4,0.5,0.6667
Amir Coffey,LAC,LAL,2/28/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,0,0,,0,2,4,0.5,0.5
Amir Coffey,LAC,CLE,1/29/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.625,0,0,,0,1,1,1,0.1111,1,3,0.3333,0.3333
Amir Coffey,LAC,BOS,1/27/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0,0,0,0,,0,0,0,,0,0,4,0,0.4444
Andre Drummond,CHI,MIL,12/11/2023,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,5,0,,0,5,0,0.4167,0,0,,0,0,0,,0
Andre Drummond,CHI,POR,3/18/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.25,,1,4,0.25,0.4,0,0,,0,0,0,,0
Andre Drummond,CHI,CHA,12/6/2023,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.5,0,0,,0,0,0,,0
Andre Drummond,CHI,WAS,3/25/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.4444,0,0,,0,0,0,,0
Andre Drummond,CHI,DET,2/27/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,,3,4,0.75,0.2857,0,0,,0,0,0,,0
Andre Drummond,CHI,CLE,2/28/2024,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.3333,0,0,,0,0,0,,0
Andre Drummond,CHI,CHA,1/8/2024,0-2 Feet - Very Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.6667,,2,3,0.6667,0.25,0,0,,0,0,0,,0
Andre Drummond,CHI,NYK,1/3/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,,3,3,1,0.25,0,0,,0,0,0,,0
Andre Drummond,CHI,NYK,1/3/2024,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,3,0.3333,,1,3,0.3333,0.25,0,0,,0,0,0,,0
Andre Drummond,CHI,ATL,12/26/2023,0-2 Feet - Very Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,,3,3,1,0.2308,0,0,,0,0,0,,0
Andre Jackson Jr.,MIL,GSW,1/13/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.6,,3,5,0.6,0.625,0,0,,0,0,0,,0
Andre Jackson Jr.,MIL,SAS,12/19/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.75
Andre Jackson Jr.,MIL,DET,12/16/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0,0,0,0,,0,0,0,,0,0,3,0,0.375
Andrew Nembhard,IND,BOS,11/1/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.3,0.3,0,0,,0,0,0,,0,1,5,0.2,0.2941
Andrew Nembhard,IND,CHI,12/28/2023,4-6 Feet - Open,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,0.6667,0.6667,0,0,,0,2,3,0.6667,0.2308,0,0,,0
Andrew Wiggins,GSW,OKC,11/16/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0,0,0,1,0,0.0769,0,0,,0,0,3,0,0.2308
Andrew Wiggins,GSW,LAL,3/16/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.2353
Andrew Wiggins,GSW,HOU,10/29/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.5,0.5,0,0,,0,0,0,,0,1,3,0.3333,0.3
Andrew Wiggins,GSW,POR,12/17/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,1,0,0,,0,0,0,,0,2,3,0.6667,0.25
Anfernee Simons,POR,SAS,1/26/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,6,0.1667,0.2,0,1,0,0.037,1,2,0.5,0.0741,0,3,0,0.1111
Anfernee Simons,POR,HOU,1/24/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,5,0.9,0.8333,2,2,1,0.1,1,1,1,0.05,1,2,0.5,0.1
Anfernee Simons,POR,DAL,12/16/2023,2-4 Feet - Tight,18-15 Early,Touch 6+ Seconds,7+ Dribbles,5,0.4,0,2,4,0.5,0.1818,0,0,,0,0,1,0,0.0455
Anfernee Simons,POR,BKN,1/7/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.5,1,1,3,0.3333,0.12,1,1,1,0.04,0,0,,0
Anfernee Simons,POR,GSW,12/23/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,0,0,,0,2,4,0.5,0.2353
Anfernee Simons,POR,DEN,2/2/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.25,0,1,3,0.3333,0.1304,0,0,,0,0,1,0,0.0435
Anfernee Simons,POR,PHX,12/19/2023,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.5,0.6667,0,1,0,0.0435,2,3,0.6667,0.1304,0,0,,0
Anfernee Simons,POR,MEM,3/2/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,1,0,0.0435,1,3,0.3333,0.1304
Anfernee Simons,POR,DAL,12/8/2023,4-6 Feet - Open,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.25,0.25,0,0,,0,1,2,0.5,0.0952,0,2,0,0.0952
Anfernee Simons,POR,WAS,12/21/2023,2-4 Feet - Tight,18-15 Early,Touch 6+ Seconds,7+ Dribbles,4,0.25,0,1,2,0.5,0.0714,0,0,,0,0,2,0,0.0714
Anfernee Simons,POR,SAC,12/26/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1.125,1.125,0,0,,0,0,0,,0,3,4,0.75,0.16
Anfernee Simons,POR,MEM,3/2/2024,4-6 Feet - Open,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,1,1.3333,0,1,0,0.0435,1,1,1,0.0435,2,2,1,0.087
Anfernee Simons,POR,NYK,1/9/2024,2-4 Feet - Tight,18-15 Early,Touch 6+ Seconds,7+ Dribbles,3,0,0,0,2,0,0.1429,0,1,0,0.0714,0,0,,0
Anfernee Simons,POR,BKN,1/7/2024,0-2 Feet - Very Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,3,1,,3,3,1,0.12,0,0,,0,0,0,,0
Anfernee Simons,POR,GSW,12/17/2023,2-4 Feet - Tight,18-15 Early,Touch 6+ Seconds,7+ Dribbles,3,1,,3,3,1,0.15,0,0,,0,0,0,,0
Anfernee Simons,POR,WAS,12/21/2023,2-4 Feet - Tight,18-15 Early,Touch 2-6 Seconds,3-6 Dribbles,3,1.3333,1.5,1,1,1,0.0357,0,0,,0,2,2,1,0.0714
Anfernee Simons,POR,DAL,12/16/2023,2-4 Feet - Tight,22-18 Very Early,Touch 2-6 Seconds,3-6 Dribbles,3,1,,3,3,1,0.1364,0,0,,0,0,0,,0
Anthony Black,ORL,LAL,11/4/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,1,1,1,1,0.1667,0,0,,0,2,3,0.6667,0.5
Anthony Davis,LAL,PHX,11/10/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.4,,2,5,0.4,0.3571,0,0,,0,0,0,,0
Anthony Davis,LAL,SAS,12/13/2023,0-2 Feet - Very Tight,15-7 Average,Touch 2-6 Seconds,1 Dribble,5,0.6,,3,5,0.6,0.2174,0,0,,0,0,0,,0
Anthony Davis,LAL,HOU,12/2/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.6,0,3,4,0.75,0.1818,0,1,0,0.0455,0,0,,0
Anthony Davis,LAL,MIL,3/26/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.7,0.625,1,1,1,0.0323,1,2,0.5,0.0645,1,2,0.5,0.0645
Anthony Davis,LAL,DEN,3/2/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.8,,4,5,0.8,0.3846,0,0,,0,0,0,,0
Anthony Davis,LAL,LAC,1/7/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.75,0.75,0,0,,0,3,4,0.75,0.2667,0,0,,0
Anthony Davis,LAL,POR,11/12/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,,4,4,1,0.2,0,0,,0,0,0,,0
Anthony Davis,LAL,PHX,12/5/2023,0-2 Feet - Very Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.25,,1,4,0.25,0.1538,0,0,,0,0,0,,0
Anthony Davis,LAL,DAL,12/12/2023,2-4 Feet - Tight,18-15 Early,Touch < 2 Seconds,0 Dribbles,4,0.75,,3,4,0.75,0.1905,0,0,,0,0,0,,0
Anthony Davis,LAL,TOR,4/2/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0,0,0,0,,0,0,1,0,0.05,0,3,0,0.15
Anthony Davis,LAL,SAC,3/13/2024,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.625,0,0,,0,1,3,0.3333,0.1667,1,1,1,0.0556
Anthony Davis,LAL,SAC,3/13/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.5,1,1,3,0.3333,0.1667,1,1,1,0.0556,0,0,,0
Anthony Davis,LAL,SAC,3/13/2024,2-4 Feet - Tight,18-15 Early,Touch < 2 Seconds,0 Dribbles,4,0.25,,1,4,0.25,0.2222,0,0,,0,0,0,,0
Anthony Davis,LAL,UTA,11/21/2023,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.2857,0,0,,0,0,0,,0
Anthony Davis,LAL,TOR,4/2/2024,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1,,4,4,1,0.2,0,0,,0,0,0,,0
Anthony Davis,LAL,DEN,2/8/2024,2-4 Feet - Tight,22-18 Very Early,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.1481,0,0,,0,0,0,,0
Anthony Davis,LAL,MEM,4/12/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.625,0.8333,0,1,0,0.0455,1,1,1,0.0455,1,2,0.5,0.0909
Anthony Davis,LAL,NOP,4/14/2024,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.75,,3,4,0.75,0.2353,0,0,,0,0,0,,0
Anthony Davis,LAL,CLE,11/25/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,2 Dribbles,4,0.5,0,2,3,0.6667,0.15,0,1,0,0.05,0,0,,0
Anthony Davis,LAL,MIN,12/21/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,1 Dribble,3,0.6667,1,1,2,0.5,0.1,1,1,1,0.05,0,0,,0
Anthony Davis,LAL,CHI,12/20/2023,2-4 Feet - Tight,22-18 Very Early,Touch < 2 Seconds,0 Dribbles,3,1,,3,3,1,0.2,0,0,,0,0,0,,0
Anthony Davis,LAL,NYK,12/18/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.6667,0.5,1,1,1,0.0455,1,2,0.5,0.0909,0,0,,0
Anthony Davis,LAL,PHX,10/26/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.5,0.5,0,0,,0,0,1,0,0.0588,1,2,0.5,0.1176
Anthony Edwards,MIN,LAL,3/10/2024,4-6 Feet - Open,22-18 Very Early,Touch 2-6 Seconds,3-6 Dribbles,5,0.9,0.8333,2,2,1,0.087,1,1,1,0.0435,1,2,0.5,0.087
Anthony Edwards,MIN,SAS,1/27/2024,4-6 Feet - Open,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,5,0.8,1,1,2,0.5,0.1111,0,1,0,0.0556,2,2,1,0.1111
Anthony Edwards,MIN,ATL,10/30/2023,4-6 Feet - Open,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,1,1,0,0,,0,1,2,0.5,0.0952,2,2,1,0.0952
Anthony Edwards,MIN,HOU,2/4/2024,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,2 Dribbles,4,0.625,0.75,1,2,0.5,0.0909,0,1,0,0.0455,1,1,1,0.0455
Anthony Edwards,MIN,POR,2/15/2024,4-6 Feet - Open,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.5,0.5,0,0,,0,2,3,0.6667,0.1429,0,1,0,0.0476
Anthony Edwards,MIN,BKN,2/24/2024,4-6 Feet - Open,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.25,0.25,0,0,,0,1,2,0.5,0.087,0,2,0,0.087
Anthony Edwards,MIN,DEN,3/19/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,4,0.5,1,1,3,0.3333,0.1154,1,1,1,0.0385,0,0,,0
Anthony Edwards,MIN,NOP,11/18/2023,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1.125,1.125,0,0,,0,0,0,,0,3,4,0.75,0.2105
Anthony Edwards,MIN,LAC,3/12/2024,2-4 Feet - Tight,22-18 Very Early,Touch 2-6 Seconds,3-6 Dribbles,4,0.5,0,2,3,0.6667,0.1034,0,1,0,0.0345,0,0,,0
Anthony Edwards,MIN,DAL,1/7/2024,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,3,0.6667,,2,3,0.6667,0.1111,0,0,,0,0,0,,0
Anthony Edwards,MIN,DAL,1/7/2024,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,3,0.6667,1,1,2,0.5,0.0741,1,1,1,0.037,0,0,,0
Anthony Edwards,MIN,SAS,11/10/2023,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,7+ Dribbles,3,0.6667,1,1,2,0.5,0.0952,1,1,1,0.0476,0,0,,0
Anthony Edwards,MIN,NOP,1/3/2024,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,2 Dribbles,3,0.3333,,1,3,0.3333,0.1364,0,0,,0,0,0,,0
Anthony Edwards,MIN,OKC,12/26/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,0.6667,0,2,2,1,0.125,0,0,,0,0,1,0,0.0625
Anthony Edwards,MIN,SAC,12/23/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,0.3333,0,1,2,0.5,0.0741,0,1,0,0.037,0,0,,0
Anthony Edwards,MIN,IND,12/16/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,2 Dribbles,3,1,,3,3,1,0.1304,0,0,,0,0,0,,0
Anthony Edwards,MIN,IND,12/16/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0,0,0,1,0,0.0435,0,0,,0,0,2,0,0.087
Anthony Edwards,MIN,DAL,12/14/2023,2-4 Feet - Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,3,0,,0,3,0,0.1579,0,0,,0,0,0,,0
