iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
88,Cason Wallace,guard,2024,3445.0,0.16,0.175,0.602,0.445,0.633,-0.83,1.15,-1.02,1.34,-0.4,0.74,-0.7,1.05,-0.79,1.13,-1.29,1.64,-0.58,0.92,2.36,1.74,2.94,1.0,0.653,0.001,0.0,0.0,0.0,3,0.376,2.5,0.093,0.093,0.124,58,5,163,A,B,-0.16
89,Khris Middleton,wing,2024,17945.0,0.62,0.568,0.524,0.503,0.9,-0.24,1.48,-0.41,1.65,-0.08,1.21,-0.42,1.55,-0.36,1.5,-0.86,1.99,-0.18,1.32,2.06,1.97,2.85,1.0,0.871,0.032,0.0,0.0,0.0,14,1.656,4.968,0.009,0.041,0.165,97,13,177,A,C,-0.18
90,Amen Thompson,guard,2024,2848.0,0.52,0.388,0.737,0.614,0.587,-0.69,1.73,-0.93,1.97,-0.4,1.17,-0.81,1.59,-0.84,1.62,-1.49,2.27,-0.36,1.14,2.89,2.41,3.76,1.0,0.736,0.035,0.0,0.0,0.0,3,0.927,2.782,0.0,0.0,0.006,79,50,127,B,B,-0.197
91,Cameron Johnson,guard,2024,14564.0,0.12,0.13,0.3,0.283,0.879,-0.37,0.61,-0.47,0.71,-0.23,0.49,-0.42,0.68,-0.39,0.65,-0.67,0.93,-0.62,0.88,1.18,1.11,1.6,1.0,0.677,0.0,0.0,0.0,0.0,7,0.683,2.5,0.004,0.004,0.06,125,18,173,A,A,-0.216
92,Miles Mcbride,guard,2024,4741.0,0.32,0.284,0.569,0.508,0.703,-0.62,1.26,-0.8,1.44,-0.37,0.93,-0.71,1.28,-0.69,1.26,-1.21,1.78,-0.47,1.03,2.23,1.99,2.99,1.0,0.712,0.008,0.0,0.0,0.0,3,0.924,2.772,0.11,0.168,0.252,99,1,181,A,B,-0.247
93,Dejounte Murray,guard,2024,23907.0,0.11,0.117,0.3,0.285,0.923,-0.38,0.6,-0.48,0.7,-0.25,0.48,-0.44,0.68,-0.35,0.59,-0.6,0.83,-0.63,0.87,1.18,1.12,1.43,1.0,0.659,0.0,0.0,0.0,0.0,8,0.744,2.5,0.062,0.062,0.116,85,5,168,A,A,-0.249
94,Jaime Jaquez,guard,2024,4161.0,0.21,0.207,0.548,0.48,0.675,-0.69,1.11,-0.86,1.28,-0.41,0.82,-0.73,1.15,-0.73,1.14,-1.22,1.63,-0.54,0.96,2.15,1.88,2.86,1.0,0.667,0.004,0.0,0.0,0.0,3,0.797,2.5,0.001,0.002,0.159,50,25,133,A,B,-0.272
95,Coby White,guard,2024,20289.0,0.21,0.209,0.367,0.354,0.91,-0.39,0.81,-0.51,0.93,-0.25,0.66,-0.49,0.9,-0.44,0.86,-0.79,1.21,-0.54,0.96,1.44,1.39,2.0,1.0,0.722,0.0,0.0,0.0,0.0,7,1.231,3.694,0.001,0.013,0.183,87,13,175,A,B,-0.337
96,Tobias Harris,guard,2024,23528.0,0.27,0.265,0.388,0.376,0.922,-0.37,0.91,-0.49,1.03,-0.22,0.75,-0.47,1.0,-0.43,0.96,-0.79,1.32,-0.49,1.01,1.52,1.47,2.12,1.0,0.759,0.001,0.0,0.0,0.0,14,1.402,4.207,0.061,0.107,0.179,105,4,178,A,B,-0.344
97,Alec Burks,guard,2024,15206.0,0.46,0.43,0.578,0.55,0.884,-0.49,1.41,-0.67,1.59,-0.27,1.13,-0.65,1.51,-0.59,1.45,-1.13,1.99,-0.32,1.18,2.26,2.15,3.13,1.0,0.783,0.026,0.0,0.0,0.0,14,1.679,5.037,0.015,0.053,0.158,97,10,177,B,C,-0.349
