iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
1,Nikola Jokic,big,2024,24792.0,7.61,7.034,0.376,0.366,0.925,6.99,8.23,6.87,8.35,6.57,7.5,6.32,7.75,6.36,7.71,6.01,8.06,6.28,7.78,1.48,1.43,2.06,1.0,1.0,1.0,1.0,1.0,0.538,10,1.397,4.192,0.001,0.001,0.07,125,17,173,A,B,7.232
2,Kawhi Leonard,wing,2024,15411.0,7.9,7.004,0.785,0.745,0.885,6.61,9.19,6.36,9.44,6.05,7.96,5.54,8.46,5.62,8.39,4.88,9.12,6.25,7.75,3.08,2.92,4.24,1.0,1.0,1.0,1.0,0.996,0.502,13,2.296,6.888,0.068,0.17,0.261,91,4,174,B,D,6.743
3,Jayson Tatum,wing,2024,25315.0,6.67,6.189,0.3,0.291,0.927,6.18,7.16,6.08,7.26,5.82,6.56,5.62,6.76,5.67,6.71,5.39,6.99,5.44,6.94,1.18,1.14,1.59,1.0,1.0,1.0,1.0,1.0,0.003,8,1.064,3.191,0.001,0.001,0.082,124,17,168,A,B,6.524
4,Joel Embiid,big,2024,18012.0,6.89,6.191,0.467,0.449,0.9,6.12,7.66,5.97,7.81,5.62,6.77,5.31,7.07,5.36,7.02,4.92,7.46,5.44,6.94,1.83,1.76,2.54,1.0,1.0,1.0,1.0,0.996,0.036,10,1.479,4.436,0.014,0.051,0.161,97,10,177,A,B,6.323
5,LeBron James,wing,2024,21205.0,6.75,6.177,0.735,0.708,0.914,5.54,7.96,5.31,8.19,5.27,7.08,4.79,7.56,4.87,7.49,4.18,8.18,5.43,6.93,2.88,2.77,4.0,1.0,1.0,1.0,1.0,0.952,0.122,23,2.524,7.572,0.006,0.006,0.061,125,17,173,B,D,5.866
6,Giannis Antetokounmpo,big,2024,22434.0,6.78,6.217,0.782,0.754,0.918,5.49,8.07,5.25,8.31,5.25,7.18,4.74,7.69,4.82,7.61,4.09,8.34,5.47,6.97,3.06,2.95,4.26,1.0,1.0,1.0,1.0,0.947,0.149,13,2.76,8.279,0.0,0.002,0.061,96,23,170,B,D,5.812
7,Paul George,wing,2024,17535.0,5.93,5.333,0.549,0.525,0.898,5.03,6.83,4.85,7.01,4.66,6.01,4.3,6.36,4.36,6.31,3.84,6.82,4.58,6.08,2.15,2.06,2.98,1.0,1.0,1.0,1.0,0.737,0.001,15,1.713,5.138,0.041,0.084,0.153,105,6,178,B,C,5.357
8,Rudy Gobert,big,2024,22620.0,5.47,5.018,0.5,0.483,0.919,4.65,6.29,4.49,6.45,4.4,5.64,4.07,5.96,4.13,5.91,3.66,6.38,4.27,5.77,1.96,1.89,2.72,1.0,1.0,1.0,0.999,0.514,0.0,12,1.771,5.313,0.02,0.069,0.163,93,9,177,A,C,5.044
9,Franz Wagner,big,2024,14838.0,5.41,4.756,0.403,0.385,0.881,4.75,6.07,4.62,6.2,4.26,5.25,4.0,5.51,4.04,5.47,3.66,5.85,4.01,5.51,1.58,1.51,2.19,1.0,1.0,1.0,0.999,0.263,0.0,5,1.157,3.471,0.024,0.092,0.161,93,6,177,A,B,5.016
10,Damian Lillard,guard,2024,21785.0,4.36,4.01,0.337,0.327,0.916,3.81,4.91,3.7,5.02,3.59,4.43,3.37,4.65,3.41,4.61,3.09,4.93,3.26,4.76,1.32,1.28,1.84,1.0,1.0,1.0,0.941,0.001,0.0,13,1.173,3.518,0.009,0.009,0.064,124,17,173,A,B,4.247
11,Jimmy Butler,wing,2024,19375.0,4.46,4.052,0.412,0.397,0.906,3.78,5.14,3.65,5.27,3.54,4.56,3.27,4.83,3.32,4.79,2.93,5.17,3.3,4.8,1.62,1.56,2.24,1.0,1.0,1.0,0.918,0.008,0.0,12,1.352,4.056,0.0,0.0,0.062,98,18,158,A,B,4.182
12,Kevin Durant,wing,2024,15647.0,5.38,4.782,1.062,1.008,0.887,3.63,7.13,3.3,7.46,3.49,6.07,2.81,6.76,2.9,6.66,1.91,7.65,4.03,5.53,4.16,3.95,5.74,1.0,1.0,0.999,0.898,0.414,0.014,18,3.132,9.395,0.0,0.0,0.086,115,17,167,C,D,4.096
13,Derrick White,guard,2024,19540.0,4.11,3.747,0.3,0.284,0.907,3.62,4.6,3.52,4.7,3.38,4.11,3.19,4.3,3.26,4.23,3.0,4.49,3.0,4.5,1.18,1.12,1.49,1.0,1.0,1.0,0.807,0.0,0.0,8,0.74,2.5,0.072,0.113,0.181,86,2,174,A,A,4.029
14,Jrue Holiday,guard,2024,22034.0,4.45,4.096,0.596,0.574,0.917,3.47,5.43,3.28,5.62,3.36,4.83,2.97,5.22,3.04,5.16,2.47,5.72,3.35,4.85,2.33,2.25,3.24,1.0,1.0,1.0,0.85,0.058,0.0,17,2.084,6.251,0.0,0.003,0.067,92,23,170,B,D,3.864
15,Draymond Green,big,2024,17402.0,4.3,3.846,0.448,0.43,0.897,3.56,5.04,3.42,5.18,3.3,4.4,3.0,4.69,3.05,4.64,2.63,5.06,3.1,4.6,1.76,1.69,2.43,1.0,1.0,1.0,0.79,0.004,0.0,13,1.393,4.18,0.0,0.0,0.0,60,27,154,A,B,3.845
16,Alex Caruso,guard,2024,14343.0,4.2,3.71,0.375,0.359,0.878,3.58,4.82,3.47,4.93,3.25,4.17,3.01,4.41,3.05,4.38,2.69,4.73,2.96,4.46,1.47,1.41,2.03,1.0,1.0,1.0,0.721,0.0,0.0,8,1.058,3.174,0.025,0.09,0.157,94,6,177,A,B,3.79
17,Devin Booker,guard,2024,23271.0,4.5,4.16,0.689,0.665,0.921,3.37,5.63,3.15,5.85,3.31,5.01,2.86,5.46,2.93,5.39,2.28,6.04,3.41,4.91,2.7,2.61,3.75,1.0,1.0,1.0,0.839,0.103,0.0,11,2.476,7.429,0.047,0.091,0.161,105,6,178,B,D,3.756
18,Stephen Curry,guard,2024,18557.0,4.51,4.091,0.872,0.835,0.903,3.07,5.95,2.8,6.22,3.02,5.16,2.45,5.73,2.54,5.64,1.72,6.46,3.34,4.84,3.42,3.27,4.73,1.0,1.0,0.999,0.76,0.138,0.0,16,2.801,8.404,0.0,0.006,0.119,90,14,170,B,D,3.441
19,Og Anunoby,wing,2024,18663.0,3.76,3.406,0.404,0.389,0.903,3.1,4.42,2.97,4.55,2.91,3.9,2.64,4.17,2.69,4.12,2.31,4.5,2.66,4.16,1.58,1.52,2.2,1.0,1.0,1.0,0.404,0.0,0.0,8,1.301,3.902,0.023,0.084,0.147,97,6,177,A,B,3.144
20,Chris Paul,guard,2024,19971.0,3.93,3.59,0.617,0.593,0.909,2.91,4.95,2.72,5.14,2.83,4.35,2.43,4.75,2.49,4.69,1.91,5.27,2.84,4.34,2.42,2.33,3.36,1.0,1.0,1.0,0.561,0.009,0.0,20,2.056,6.169,0.0,0.001,0.049,96,30,170,B,D,3.125
21,Kyrie Irving,guard,2024,16065.0,3.76,3.366,0.629,0.599,0.889,2.73,4.79,2.53,4.99,2.6,4.13,2.19,4.54,2.25,4.48,1.66,5.07,2.62,4.12,2.47,2.35,3.41,1.0,1.0,0.999,0.411,0.003,0.0,14,1.879,5.637,0.0,0.0,0.085,116,17,168,B,C,2.832
22,Shai Gilgeous-Alexander,guard,2024,21681.0,3.99,3.67,1.014,0.975,0.916,2.32,5.66,2.0,5.98,2.42,4.92,1.76,5.58,1.87,5.47,0.91,6.43,2.92,4.42,3.97,3.82,5.51,1.0,1.0,0.987,0.569,0.086,0.0,8,3.518,10.554,0.0,0.0,0.065,102,18,158,C,D,2.738
23,Isaiah Hartenstein,big,2024,11100.0,3.44,2.9,0.355,0.338,0.847,2.86,4.02,2.74,4.14,2.47,3.33,2.24,3.56,2.27,3.53,1.94,3.86,2.15,3.65,1.39,1.33,1.92,1.0,1.0,1.0,0.038,0.0,0.0,6,0.882,2.646,0.092,0.187,0.284,78,4,172,A,A,2.497
24,Myles Turner,big,2024,17104.0,3.59,3.204,0.698,0.667,0.895,2.44,4.74,2.22,4.96,2.35,4.06,1.9,4.51,1.97,4.44,1.31,5.1,2.45,3.95,2.74,2.61,3.79,1.0,1.0,0.995,0.328,0.004,0.0,11,2.153,6.459,0.047,0.047,0.061,61,11,135,B,D,2.487
25,Luka Doncic,guard,2024,23309.0,3.24,3.0,0.397,0.385,0.921,2.59,3.89,2.46,4.02,2.51,3.49,2.25,3.75,2.29,3.71,1.92,4.08,2.25,3.75,1.56,1.51,2.17,1.0,1.0,1.0,0.097,0.0,0.0,7,1.43,4.289,0.0,0.004,0.1,92,15,170,A,B,2.456
26,Clint Capela,guard,2024,18080.0,3.2,2.901,0.353,0.341,0.9,2.62,3.78,2.51,3.89,2.46,3.34,2.23,3.57,2.27,3.53,1.94,3.86,2.15,3.65,1.38,1.34,1.92,1.0,1.0,1.0,0.039,0.0,0.0,10,1.119,3.358,0.018,0.019,0.21,72,22,150,A,B,2.426
27,Jarrett Allen,big,2024,20235.0,3.01,2.73,0.3,0.284,0.91,2.52,3.5,2.42,3.6,2.37,3.09,2.17,3.29,2.25,3.21,1.99,3.47,1.98,3.48,1.18,1.11,1.48,1.0,1.0,1.0,0.003,0.0,0.0,8,0.717,2.5,0.025,0.081,0.145,100,6,178,A,A,2.375
28,Aaron Gordon,big,2024,20334.0,3.24,2.941,0.469,0.452,0.91,2.47,4.01,2.32,4.16,2.36,3.52,2.05,3.83,2.11,3.78,1.66,4.22,2.19,3.69,1.84,1.77,2.55,1.0,1.0,0.999,0.108,0.0,0.0,12,1.577,4.731,0.069,0.083,0.194,78,2,164,A,C,2.328
29,James Harden,guard,2024,22324.0,3.11,2.871,0.406,0.393,0.918,2.44,3.78,2.31,3.91,2.37,3.37,2.1,3.64,2.15,3.59,1.76,3.98,2.12,3.62,1.59,1.54,2.21,1.0,1.0,1.0,0.054,0.0,0.0,17,1.429,4.287,0.021,0.084,0.148,99,6,177,A,B,2.289
30,Immanuel Quickley,guard,2024,14517.0,2.96,2.626,0.3,0.283,0.879,2.47,3.45,2.37,3.55,2.26,2.99,2.07,3.18,2.1,3.15,1.83,3.42,1.88,3.38,1.18,1.11,1.6,1.0,1.0,1.0,0.001,0.0,0.0,6,0.688,2.5,0.004,0.025,0.185,90,13,176,A,A,2.279
31,Jalen Brunson,guard,2024,20362.0,2.98,2.731,0.346,0.335,0.911,2.41,3.55,2.3,3.66,2.3,3.16,2.07,3.39,2.11,3.35,1.79,3.68,1.98,3.48,1.36,1.31,1.89,1.0,1.0,1.0,0.011,0.0,0.0,8,1.165,3.494,0.074,0.092,0.191,83,2,164,A,B,2.223
32,Chet Holmgren,big,2024,4970.0,3.63,2.56,0.502,0.411,0.713,2.81,4.45,2.65,4.61,2.03,3.09,1.75,3.36,1.73,3.39,1.29,3.83,1.81,3.31,1.97,1.61,2.54,1.0,1.0,0.995,0.011,0.0,0.0,2,0.495,2.5,0.0,0.0,0.077,115,18,158,A,C,2.215
33,Pascal Siakam,wing,2024,24166.0,3.2,2.963,0.56,0.542,0.924,2.28,4.12,2.1,4.3,2.27,3.66,1.9,4.03,1.96,3.96,1.43,4.49,2.21,3.71,2.2,2.13,3.06,1.0,1.0,0.997,0.161,0.0,0.0,10,2.053,6.16,0.005,0.03,0.176,96,13,176,B,D,2.205
34,Fred Vanvleet,guard,2024,23031.0,2.52,2.335,0.3,0.282,0.92,2.03,3.01,1.93,3.11,1.97,2.7,1.78,2.89,1.87,2.8,1.62,3.05,1.58,3.08,1.18,1.11,1.43,1.0,1.0,0.998,0.0,0.0,0.0,8,0.545,2.5,0.09,0.09,0.13,61,5,163,A,A,2.03
35,Karlanthony Towns,guard,2024,17145.0,2.76,2.493,0.377,0.363,0.896,2.14,3.38,2.02,3.5,2.03,2.96,1.78,3.2,1.82,3.16,1.47,3.52,1.74,3.24,1.48,1.42,2.05,1.0,1.0,0.997,0.003,0.0,0.0,11,1.165,3.494,0.019,0.065,0.164,94,9,177,A,B,1.964
36,Marcus Smart,guard,2024,17065.0,2.53,2.286,0.3,0.281,0.895,2.04,3.02,1.94,3.12,1.93,2.65,1.73,2.84,1.79,2.79,1.52,3.05,1.54,3.04,1.18,1.1,1.53,1.0,1.0,0.997,0.0,0.0,0.0,12,0.622,2.5,0.116,0.189,0.283,93,1,181,A,A,1.959
37,Mikal Bridges,wing,2024,26329.0,2.56,2.386,0.3,0.29,0.929,2.07,3.05,1.97,3.15,2.01,2.76,1.82,2.96,1.88,2.9,1.61,3.16,1.64,3.14,1.18,1.14,1.56,1.0,1.0,0.999,0.0,0.0,0.0,8,1.035,3.105,0.0,0.0,0.084,115,17,158,A,B,1.93
38,Robert Covington,big,2024,15467.0,2.6,2.291,0.351,0.337,0.885,2.02,3.18,1.91,3.29,1.86,2.72,1.63,2.95,1.67,2.92,1.34,3.25,1.54,3.04,1.38,1.32,1.91,1.0,1.0,0.99,0.0,0.0,0.0,10,1.029,3.088,0.104,0.159,0.243,99,1,181,A,B,1.814
39,Anthony Davis,big,2024,19244.0,2.63,2.373,0.424,0.409,0.906,1.93,3.33,1.8,3.46,1.85,2.9,1.57,3.17,1.62,3.13,1.22,3.53,1.62,3.12,1.66,1.6,2.31,1.0,1.0,0.984,0.003,0.0,0.0,14,1.388,4.164,0.078,0.124,0.201,105,4,178,A,B,1.755
40,Jakob Poeltl,big,2024,16726.0,2.6,2.312,0.433,0.415,0.893,1.89,3.31,1.75,3.45,1.78,2.84,1.5,3.13,1.54,3.08,1.14,3.49,1.56,3.06,1.7,1.63,2.35,1.0,1.0,0.975,0.002,0.0,0.0,9,1.32,3.961,0.085,0.134,0.213,103,4,180,A,B,1.71
41,Obi Toppin,big,2024,9422.0,2.41,1.97,0.364,0.338,0.825,1.81,3.01,1.7,3.12,1.54,2.4,1.31,2.63,1.33,2.61,1.0,2.94,1.22,2.72,1.43,1.33,1.95,1.0,1.0,0.918,0.0,0.0,0.0,5,0.734,2.5,0.005,0.028,0.178,90,13,176,A,A,1.581
42,Bam Adebayo,big,2024,22459.0,2.27,2.076,0.362,0.351,0.918,1.67,2.87,1.56,2.98,1.63,2.53,1.39,2.76,1.43,2.72,1.09,3.06,1.33,2.83,1.42,1.37,1.98,1.0,1.0,0.95,0.0,0.0,0.0,8,1.278,3.834,0.024,0.084,0.145,100,6,178,A,B,1.517
43,Lauri Markkanen,big,2024,17734.0,2.56,2.29,0.559,0.535,0.899,1.64,3.48,1.46,3.66,1.6,2.98,1.24,3.34,1.3,3.28,0.77,3.81,1.54,3.04,2.19,2.1,3.03,1.0,1.0,0.93,0.012,0.0,0.0,8,1.755,5.264,0.108,0.195,0.293,78,1,174,B,C,1.506
44,Kevon Looney,big,2024,12768.0,2.42,2.079,0.45,0.427,0.865,1.68,3.16,1.54,3.3,1.53,2.63,1.24,2.92,1.28,2.87,0.86,3.3,1.33,2.83,1.77,1.68,2.43,1.0,1.0,0.912,0.0,0.0,0.0,6,1.2,3.599,0.095,0.147,0.23,100,3,181,A,B,1.506
45,De'Anthony Melton,guard,2024,14423.0,2.21,1.965,0.355,0.34,0.878,1.63,2.79,1.51,2.91,1.53,2.4,1.3,2.63,1.33,2.6,1.0,2.93,1.22,2.72,1.39,1.33,1.93,1.0,1.0,0.914,0.0,0.0,0.0,7,1.005,3.014,0.068,0.114,0.19,105,4,178,A,B,1.494
46,Jamal Murray,guard,2024,15036.0,1.97,1.762,0.3,0.288,0.883,1.48,2.46,1.38,2.56,1.39,2.13,1.2,2.33,1.24,2.28,0.96,2.56,1.01,2.51,1.18,1.13,1.6,1.0,1.0,0.819,0.0,0.0,0.0,7,0.817,2.5,0.0,0.001,0.044,96,30,170,A,A,1.373
47,Kristaps Porzingis,big,2024,17024.0,1.91,1.699,0.3,0.286,0.895,1.42,2.4,1.32,2.5,1.33,2.07,1.14,2.26,1.19,2.2,0.93,2.47,0.95,2.45,1.18,1.12,1.54,1.0,1.0,0.756,0.0,0.0,0.0,8,0.798,2.5,0.011,0.045,0.16,97,13,177,A,A,1.317
48,Donovan Mitchell,guard,2024,21531.0,2.22,2.048,0.502,0.485,0.915,1.39,3.05,1.24,3.2,1.43,2.67,1.1,3.0,1.15,2.94,0.68,3.42,1.3,2.8,1.97,1.9,2.74,1.0,1.0,0.871,0.001,0.0,0.0,8,1.738,5.213,0.0,0.0,0.054,98,18,158,A,C,1.285
49,Gordon Hayward,guard,2024,15697.0,2.37,2.125,0.698,0.664,0.887,1.22,3.52,1.0,3.74,1.27,2.98,0.82,3.43,0.89,3.36,0.24,4.01,1.37,2.87,2.73,2.6,3.77,1.0,0.999,0.827,0.019,0.0,0.0,13,2.06,6.18,0.024,0.09,0.16,93,6,177,B,D,1.19
50,Joe Ingles,guard,2024,14785.0,2.34,2.085,0.683,0.648,0.881,1.22,3.46,1.0,3.68,1.25,2.92,0.81,3.36,0.88,3.29,0.24,3.93,1.34,2.84,2.68,2.54,3.69,1.0,0.999,0.817,0.014,0.0,0.0,10,1.958,5.873,0.001,0.008,0.148,87,14,170,B,C,1.185
51,Domantas Sabonis,big,2024,24570.0,1.68,1.546,0.3,0.287,0.925,1.19,2.17,1.09,2.27,1.18,1.91,0.98,2.11,1.08,2.02,0.83,2.27,0.8,2.3,1.18,1.13,1.44,1.0,1.0,0.564,0.0,0.0,0.0,10,0.844,2.531,0.003,0.003,0.063,125,18,173,A,A,1.149
52,Zion Williamson,guard,2024,11926.0,1.68,1.467,0.324,0.301,0.856,1.15,2.21,1.05,2.31,1.08,1.85,0.88,2.06,0.9,2.03,0.6,2.33,0.72,2.22,1.27,1.18,1.73,1.0,1.0,0.457,0.0,0.0,0.0,6,0.644,2.5,0.031,0.08,0.144,105,6,178,A,A,1.123
53,Evan Mobley,big,2024,12876.0,1.74,1.493,0.312,0.297,0.866,1.23,2.25,1.13,2.35,1.11,1.87,0.91,2.08,0.94,2.04,0.65,2.34,0.74,2.24,1.22,1.17,1.69,1.0,1.0,0.49,0.0,0.0,0.0,5,0.786,2.5,0.022,0.089,0.153,94,6,177,A,A,1.109
54,Mitchell Robinson,guard,2024,12653.0,1.62,1.426,0.314,0.291,0.864,1.1,2.14,1.0,2.24,1.05,1.8,0.86,2.0,0.88,1.98,0.59,2.27,0.68,2.18,1.23,1.14,1.68,1.0,1.0,0.4,0.0,0.0,0.0,8,0.591,2.5,0.004,0.023,0.184,90,13,176,A,A,1.103
55,Kevin Huerter,guard,2024,19991.0,1.6,1.473,0.3,0.286,0.909,1.11,2.09,1.01,2.19,1.11,1.84,0.91,2.03,0.99,1.96,0.73,2.22,0.72,2.22,1.18,1.12,1.49,1.0,1.0,0.462,0.0,0.0,0.0,8,0.787,2.5,0.016,0.056,0.162,97,10,177,A,A,1.094
56,Desmond Bane,guard,2024,14461.0,1.97,1.755,0.549,0.522,0.879,1.07,2.87,0.89,3.05,1.09,2.42,0.73,2.78,0.78,2.73,0.27,3.24,1.0,2.5,2.15,2.04,2.97,1.0,1.0,0.688,0.0,0.0,0.0,6,1.556,4.668,0.0,0.001,0.043,96,30,170,B,C,1.027
57,Josh Hart,wing,2024,20158.0,1.37,1.255,0.3,0.28,0.91,0.88,1.86,0.78,1.96,0.9,1.61,0.71,1.81,0.77,1.74,0.52,1.99,0.51,2.01,1.18,1.1,1.47,1.0,1.0,0.192,0.0,0.0,0.0,8,0.511,2.5,0.0,0.002,0.053,96,23,170,A,A,0.962
58,Julius Randle,guard,2024,23113.0,2.1,1.949,0.661,0.638,0.92,1.01,3.19,0.8,3.4,1.13,2.77,0.7,3.2,0.77,3.13,0.15,3.75,1.2,2.7,2.59,2.5,3.6,1.0,0.999,0.759,0.008,0.0,0.0,11,2.369,7.108,0.083,0.083,0.126,65,5,163,B,D,0.926
59,Sam Hauser,guard,2024,6399.0,1.89,1.488,0.555,0.505,0.762,0.98,2.8,0.8,2.98,0.84,2.13,0.5,2.48,0.53,2.45,0.02,2.96,0.74,2.24,2.18,1.98,2.94,1.0,0.998,0.49,0.0,0.0,0.0,4,1.046,3.139,0.001,0.001,0.077,124,17,168,A,B,0.922
60,Matisse Thybulle,wing,2024,13933.0,1.53,1.35,0.336,0.323,0.874,0.98,2.08,0.87,2.19,0.94,1.76,0.72,1.98,0.75,1.95,0.44,2.26,0.6,2.1,1.32,1.27,1.83,1.0,1.0,0.322,0.0,0.0,0.0,7,0.936,2.807,0.06,0.16,0.245,91,4,174,A,A,0.908
